ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04670	Leukocyte transendothelial migration	10/165	115/8579	6.92019263685142e-05	0.000698609923339286	0.000502971394658374		10
hsa04613	Neutrophil extracellular trap formation	13/165	191/8579	7.55438072466913e-05	0.00072796759710448	0.000524107753625371		13
hsa05202	Transcriptional misregulation in cancer	13/165	193/8579	8.40419498665135e-05	0.000733803754733294	0.000528309555294576		13
hsa05132	Salmonella infection	15/165	249/8579	8.54960260808035e-05	0.000733803754733294	0.000528309555294576		15
hsa04936	Alcoholic liver disease	11/165	142/8579	8.65334616430771e-05	0.000733803754733294	0.000528309555294576		11
hsa05142	Chagas disease	9/165	102/8579	0.000143547726100985	0.00117046607436187	0.000842689080349909		9
hsa04145	Phagosome	11/165	152/8579	0.000159255014276898	0.00125044677876676	0.000900272010532173		11
hsa04659	Th17 cell differentiation	9/165	108/8579	0.000222196059125467	0.0016823415905214	0.00121121911929296		9
hsa04610	Complement and coagulation cascades	8/165	86/8579	0.000234531622523205	0.00171450703361791	0.00123437696064845		8
hsa05418	Fluid shear stress and atherosclerosis	10/165	139/8579	0.000333079046403964	0.00235375859458801	0.0016946126922307		10
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	7/165	70/8579	0.000371262049159672	0.00253895336844679	0.00182794557311214		7
hsa05150	Staphylococcus aureus infection	8/165	96/8579	0.00049826321348755	0.00330099378935502	0.00237658440643733		8
hsa05171	Coronavirus disease - COVID-19	13/165	232/8579	0.000516404962155549	0.00331751066596898	0.00238847590151689		13
hsa04933	AGE-RAGE signaling pathway in diabetic complications	8/165	100/8579	0.00065532333912104	0.00408613376157825	0.00294185399915018		8
hsa05152	Tuberculosis	11/165	180/8579	0.000683122758078793	0.00413777213464869	0.00297903157658421		11
hsa04620	Toll-like receptor signaling pathway	8/165	104/8579	0.000850133706313093	0.0050063429371771	0.00360436805308183		8
hsa05166	Human T-cell leukemia virus 1 infection	12/165	222/8579	0.00115961011135879	0.00664425252994766	0.00478359789891962		12
hsa05145	Toxoplasmosis	8/165	111/8579	0.00130112088195469	0.00725888492037881	0.00522610880563519		8
hsa05164	Influenza A	10/165	171/8579	0.00166558091638462	0.00905392703265488	0.00651846782390744		10
hsa04658	Th1 and Th2 cell differentiation	7/165	92/8579	0.00190685548396238	0.0101063340650006	0.00727615908354067		7
hsa04623	Cytosolic DNA-sensing pathway	6/165	75/8579	0.00311315169893258	0.0160972721993587	0.0115893965685552		6
hsa04630	JAK-STAT signaling pathway	9/165	166/8579	0.00466657286292244	0.0235550820699895	0.0169587234366856		9
hsa05130	Pathogenic Escherichia coli infection	10/165	198/8579	0.00481357288463362	0.0237320337567983	0.0170861216223225		10
hsa05162	Measles	8/165	138/8579	0.0050567188164999	0.0243641906613177	0.0175412494830738		8
hsa05143	African trypanosomiasis	4/165	37/8579	0.00531491410590076	0.0250391508989102	0.0180271940434061		4
hsa05340	Primary immunodeficiency	4/165	38/8579	0.00585267388612315	0.0269731926925676	0.019419627310935		4
hsa05219	Bladder cancer	4/165	41/8579	0.00768025038698194	0.0346428315327696	0.0249414626228977		4
hsa05332	Graft-versus-host disease	4/165	42/8579	0.00836394133110737	0.0369407408790575	0.0265958660747932		4
hsa04660	T cell receptor signaling pathway	7/165	121/8579	0.00865924657332113	0.0374644953784506	0.026972948509808		7
hsa05221	Acute myeloid leukemia	5/165	67/8579	0.00916304037297669	0.0388512911814212	0.0279713864017183		5
hsa04666	Fc gamma R-mediated phagocytosis	6/165	97/8579	0.0108255305087768	0.044134855151167	0.0317753425864907		6
hsa05215	Prostate cancer	6/165	97/8579	0.0108255305087768	0.044134855151167	0.0317753425864907		6
hsa05163	Human cytomegalovirus infection	10/165	225/8579	0.0114450062137889	0.0457800248551557	0.0329597994240198		10
hsa04650	Natural killer cell mediated cytotoxicity	7/165	132/8579	0.0135777573849332	0.0533052697334415	0.038377676819012		7
hsa04672	Intestinal immune network for IgA production	4/165	49/8579	0.0142775361894641	0.0550334122212071	0.03962187076502		4
hsa05170	Human immunodeficiency virus 1 infection	9/165	212/8579	0.0210427723550958	0.0796619239157198	0.0573534208926483		9
hsa04662	B cell receptor signaling pathway	5/165	84/8579	0.0226144337015279	0.0841098235916475	0.0605557319800839		5
hsa04080	Neuroactive ligand-receptor interaction	13/165	367/8579	0.0244505671864722	0.0893710386815881	0.0643435978591374		13
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	5/165	89/8579	0.0281895988504608	0.101291439937249	0.0729258132616739		5
hsa04390	Hippo signaling pathway	7/165	157/8579	0.0316518982910001	0.111836707294867	0.0805179868806143		7
hsa05330	Allograft rejection	3/165	38/8579	0.0360544771337456	0.125155467931017	0.0901069654915463		3
hsa05161	Hepatitis B	7/165	162/8579	0.0366020708100143	0.125155467931017	0.0901069654915463		7
hsa04926	Relaxin signaling pathway	6/165	129/8579	0.0379457885866267	0.127690590164521	0.0919321527996803		6
hsa05169	Epstein-Barr virus infection	8/165	202/8579	0.0409669860588058	0.135703141319794	0.0977008713573494		8
hsa04210	Apoptosis	6/165	136/8579	0.0470743930947054	0.153534943631962	0.110539060708215		6
hsa04940	Type I diabetes mellitus	3/165	43/8579	0.0492334367682098	0.156679154317111	0.112802767507354		3
hsa04015	Rap1 signaling pathway	8/165	210/8579	0.0495165251851248	0.156679154317111	0.112802767507354		8
