	GSM4705199	GSM4705200	GSM4705201	GSM4705202	GSM4705203	GSM4705204	GSM4705205	GSM4705206
ABCC8	68	20	17	17	13	8	4	9
CACNG3	4	4	6	8	0	1	3	12
TMEM132A	34	14	10	21	15	14	6	8
AP2B1	2193	2421	1240	1551	1646	1409	1258	1276
TAC1	5	1	4	1	2	0	7	3
ZNF263	149	108	110	112	171	136	102	80
CX3CL1	17	9	0	1	1	2	1	2
SPATA20	89	60	119	133	251	206	84	67
CACNA1G	58	49	32	50	100	99	71	66
TNFRSF12A	2005	1077	1216	1495	1525	1306	1262	1214
DLX6	1	0	0	1	0	0	3	3
MAP3K9	36	54	26	52	43	28	19	18
RALA	1233	955	526	849	484	430	815	700
BAIAP2L1	67	46	64	81	85	56	72	45
KDM7A	199	171	87	109	90	97	225	229
ETV1	24	25	21	14	24	17	16	13
AGK	139	104	91	115	207	195	116	111
ALDH3B1	16	24	19	25	16	25	12	15
TTC22	9	5	2	1	4	4	0	3
PHTF2	317	320	207	280	248	235	137	131
CCL26	33	19	6	10	22	7	15	12
FARP2	353	338	208	303	348	308	212	169
USH1C	16	11	7	5	2	1	5	5
GGCT	976	737	488	740	1134	1008	635	511
DBF4	166	115	92	92	66	62	116	74
TBXA2R	3	3	5	2	2	1	3	1
IFRD1	634	442	328	391	330	314	447	327
LGALS14	2	0	6	1	2	3	0	1
COX10	170	73	78	158	147	137	122	136
GTF2IRD1	55	20	32	24	27	18	37	30
PAF1	223	159	220	279	239	211	167	165
VPS41	1008	738	443	584	1764	1618	790	782
ARHGAP44	38	15	16	15	13	16	13	16
ELAC2	190	176	174	198	302	268	134	118
SCIN	13	6	20	14	24	7	9	8
ARSD	436	340	232	280	475	367	181	196
PNPLA4	281	206	132	156	262	267	306	247
MYH13	8	15	7	13	3	1	4	5
ADIPOR2	1035	831	676	773	678	632	835	984
CDKL3	124	84	73	95	98	88	92	57
UPP2	0	0	11	1	6	6	0	3
PRSS21	5	5	3	6	1	1	2	2
MARK4	92	78	84	86	102	92	67	58
PROM1	21	10	17	9	15	9	8	7
CCDC124	550	475	200	347	461	428	343	310
CEACAM21	340	239	172	205	69	44	27	25
PAFAH1B1	809	502	471	540	599	439	631	610
NOS2	18	7	13	10	27	27	27	24
DNAH9	52	34	38	42	30	18	25	25
KIAA0100	220	185	147	213	253	215	115	156
SLC13A2	24	14	3	11	1	3	2	5
GAS7	61	70	38	66	6	9	58	59
TRAPPC6A	361	249	105	190	246	221	315	259
MATK	15	12	6	7	6	4	2	3
CEACAM7	3	4	2	0	0	1	3	0
CD79B	11	5	1	7	1	0	1	2
SCN4A	20	14	8	8	7	4	7	11
ST7L	256	180	157	198	237	215	172	127
TKTL1	25	14	6	7	105	121	12	7
PAX6	33	24	23	32	9	15	21	9
RPUSD1	27	23	18	23	20	18	13	18
RHBDF1	55	39	29	40	64	54	15	9
LUC7L	659	619	436	639	864	640	483	438
CACNA2D2	17	24	7	3	10	5	3	4
BAIAP3	74	30	33	35	35	29	28	26
TSR3	112	66	81	74	70	72	64	70
PIGQ	53	56	46	48	40	28	20	11
CRAMP1	85	68	28	53	55	44	27	33
TEAD3	58	58	38	55	28	29	20	15
SELE	1	0	10	6	5	9	4	2
DNAJC11	215	193	180	213	469	400	169	194
FMO3	2	1	21	16	17	2	1	3
MYLIP	24	5	6	3	67	72	6	14
NOX1	7	1	3	4	3	5	4	7
E2F2	11	6	3	4	2	1	1	3
PSMB1	5970	2819	2163	2772	4939	4427	4136	3760
SYN1	138	142	115	120	81	61	70	83
JARID2	331	263	157	204	144	123	420	380
CDKL5	95	85	57	63	94	53	67	42
CAMK1G	6	4	5	1	4	3	0	5
CDK11A	162	137	152	223	153	158	93	83
NADK	71	77	75	87	67	71	50	51
TFAP2B	2	1	1	0	2	1	1	2
TFAP2D	4	3	7	4	3	1	1	3
DLEC1	127	63	84	110	218	134	74	53
CYTH3	170	134	75	70	82	60	32	22
ADAM22	12	16	49	26	31	23	22	18
SYPL1	981	678	583	653	819	727	889	801
CYB561	37	36	21	41	55	47	23	23
SPAG9	1241	921	652	853	734	612	678	719
CELSR3	113	66	43	33	32	15	35	16
AASS	565	457	240	297	883	748	288	288
PLEKHG6	38	18	7	21	15	7	2	4
SS18L2	542	275	280	365	355	334	324	267
MPND	30	17	10	5	13	16	7	8
MGST1	13819	6440	2683	3775	8119	7489	4698	3957
CRY1	441	250	277	346	93	87	179	148
PGLYRP1	11	3	0	6	2	1	1	4
NFIX	14	10	11	18	15	6	2	10
ST3GAL1	99	68	70	106	297	238	79	80
MMP25	11	6	19	22	6	6	4	1
IL32	774	386	233	254	160	126	531	428
PKD1	69	27	23	54	52	33	28	21
MAPK8IP2	20	7	2	13	6	7	6	3
MED24	118	92	104	143	177	133	91	89
RHOBTB2	48	40	37	34	56	46	17	33
HEATR5B	402	351	156	265	221	210	180	159
SEC62	1866	1220	1006	1444	1472	1352	1508	1197
RPS20	4347	4336	2597	3751	3055	2773	2835	2546
CSDE1	2844	2309	1971	2434	2912	2734	2208	1924
UBE3C	260	227	171	221	283	282	191	169
REV3L	483	377	314	414	413	404	246	260
TENM1	36	28	57	46	56	25	16	28
PAX7	2	1	2	1	6	0	1	2
MASP2	30	22	21	11	6	9	14	24
IYD	17	12	19	4	10	6	19	22
FAM76A	197	93	92	99	89	77	78	62
TRAF3IP3	34	35	18	25	13	21	30	26
POMT2	113	113	67	81	90	68	39	54
VTA1	1366	998	509	750	950	906	979	802
MLXIPL	27	12	7	12	39	37	3	6
BAZ1B	500	498	298	344	821	756	253	227
RANBP9	339	167	137	128	185	189	165	180
ETV7	41	33	24	28	21	23	25	15
SPRTN	157	107	83	103	108	80	79	65
METTL13	257	228	240	236	475	440	657	563
DYRK4	379	187	153	191	373	354	342	276
ZNF207	3060	2324	1792	2407	2613	2271	1886	1794
UQCRC1	1914	1754	1110	1543	2444	1938	1950	1819
STARD3NL	1771	1066	753	959	736	594	1479	1125
CD9	4854	2476	1256	1894	4880	4740	2155	1751
HHATL	13	4	3	2	0	3	5	0
NCAPD2	172	80	95	139	170	132	117	95
IFFO1	38	32	30	29	80	50	15	17
GIPR	16	8	5	8	2	2	8	2
PHF7	14	21	12	9	16	12	6	11
SEMA3G	21	6	8	2	0	3	2	2
NISCH	192	144	125	171	128	109	87	82
STAB1	100	34	22	31	26	17	34	52
FUZ	77	53	67	81	132	129	45	61
SLC6A13	21	7	8	6	0	4	7	13
IDS	1198	943	601	754	487	402	656	625
PRSS3	12	6	8	6	6	0	11	7
ZNF200	68	47	26	58	75	102	51	36
CD4	9	17	7	8	2	6	9	6
LRRC23	167	93	69	84	195	187	84	108
BTK	14	13	12	5	5	2	6	5
HFE	125	87	78	99	341	288	61	58
SCMH1	210	258	181	184	369	313	128	108
FYN	268	253	121	130	68	68	87	91
HIVEP2	184	191	137	258	103	77	117	142
FMO1	8	0	12	15	6	21	6	2
ELOA	385	340	259	353	347	365	283	257
LYPLA2	167	132	132	154	155	138	113	101
CLCN6	450	429	328	421	203	191	163	202
MRC2	71	43	68	59	28	25	36	46
NME1-NME2	3879	2018	2015	2453	4678	4023	3522	3152
SLC6A7	10	3	3	5	1	0	2	0
TSPAN9	30	20	28	36	39	29	29	28
BTBD7	185	155	129	163	179	188	115	106
APBA3	60	59	54	59	55	57	37	57
MKS1	52	62	50	79	185	143	51	55
ABHD5	797	718	348	365	672	617	249	251
ANOS1	57	43	24	50	58	48	46	54
AKAP8L	161	174	200	183	250	201	90	89
MBTD1	152	118	86	95	113	77	31	71
UTP18	288	191	157	235	249	229	223	154
RNF216	216	275	144	183	252	219	188	199
TTC19	500	365	265	346	514	378	431	380
PTBP1	503	454	417	574	525	484	325	390
DPF1	24	16	14	15	9	4	9	13
SYT7	38	19	12	12	4	11	8	5
LARS2	101	103	69	58	104	90	37	51
PIK3C2A	539	425	283	391	569	575	254	225
PLAUR	269	140	180	227	149	148	218	180
ANLN	53	34	75	63	30	28	27	24
WIZ	127	93	70	127	116	62	68	68
RABGAP1	372	453	260	318	418	333	219	252
DCN	7421	4479	2850	4466	2219	2443	3576	2712
QPCTL	56	22	47	65	23	34	18	27
PPP5C	248	198	125	186	221	230	128	160
CEP68	215	162	90	120	192	148	78	82
MAP4K3	242	166	132	120	200	176	120	113
ZBTB32	7	1	1	5	2	1	1	0
TYROBP	116	50	9	10	6	13	40	45
TMEM159	109	99	80	114	67	58	57	51
GABRA3	5	2	19	5	17	16	4	3
BRCA1	23	27	40	52	33	38	17	18
ERCC1	780	507	394	480	964	963	689	569
CD22	27	18	15	28	19	22	21	23
SEMA3B	202	154	127	158	92	85	96	120
MBTPS2	265	235	186	235	269	254	226	221
PRICKLE3	41	42	35	30	28	12	16	16
LTF	13	12	2	6	1	5	1	4
EXTL3	51	46	29	54	32	35	21	32
NR1H4	70	37	43	65	118	134	58	48
ELOVL5	9018	8762	3020	4298	5103	4002	4180	4467
ALOX5	855	682	723	855	167	203	623	651
KDM5D	0	0	0	0	0	0	0	0
CALCOCO1	362	355	189	283	281	253	113	167
UBR7	209	223	142	186	162	134	113	148
MAP4K5	748	646	436	492	438	327	399	413
EHD3	12	15	6	15	21	16	6	5
PSMC4	1182	664	543	726	834	824	1088	971
MAN2B2	160	141	125	168	221	198	77	83
SLC7A14	18	7	11	8	20	15	8	7
CLDN11	725	481	531	646	2405	1986	1698	1466
SLC25A39	338	230	187	234	356	345	197	235
MVP	418	362	343	395	573	432	218	240
NUB1	526	403	313	439	467	397	369	305
PGM3	1107	810	705	826	788	687	862	725
RWDD2A	135	87	62	70	108	100	82	69
CLK1	1512	1081	646	923	1803	1549	884	746
POLR3B	142	133	121	140	153	114	114	94
ANGEL1	41	76	40	64	84	80	26	24
RNF14	1737	1128	701	915	2724	2594	1231	1066
DNASE1L1	26	15	19	20	15	14	6	22
DDX11	4	5	12	12	8	7	6	5
HEBP1	408	335	244	293	362	320	179	175
GPRC5A	328	318	214	225	302	202	831	868
MAMLD1	95	101	36	70	24	22	155	112
CD6	4	6	7	5	4	0	1	9
TACC3	28	9	12	18	18	10	14	7
UFL1	479	351	216	316	502	494	388	318
POLA2	29	26	22	27	30	17	20	26
ZC3H3	28	42	136	210	75	52	74	93
CAPN1	209	143	135	220	169	145	103	106
ACPP	676	570	579	624	3956	3539	1569	1318
MDH1	12967	6227	5682	7260	18306	17132	12723	9992
SLC30A9	1083	802	564	710	1125	956	814	703
MTMR11	104	75	80	95	122	118	68	56
COX15	171	149	129	138	313	257	178	131
CCDC88C	22	14	15	3	4	2	6	7
YAF2	465	268	253	303	248	255	236	209
ZMYND11	745	568	444	570	765	755	788	711
WAS	4	2	3	2	3	3	3	3
DPEP1	12	1	2	4	0	2	0	3
BID	215	113	98	138	127	139	142	137
NPC1L1	25	2	2	2	1	8	3	5
XYLT2	33	14	20	35	48	41	14	14
RGPD5	72	129	58	57	56	61	40	62
STMN4	7	1	1	0	2	0	3	2
NUDCD3	194	167	110	145	163	181	105	102
ISL1	1	2	5	2	5	4	0	2
CHDH	41	23	9	22	4	6	17	66
IL20RA	7	1	5	0	6	5	4	7
CLCA1	4	0	9	3	6	4	0	8
CLCA4	1	1	15	9	12	15	5	5
GLT8D1	497	275	181	248	293	272	355	293
ATP2C1	1133	753	607	788	503	438	988	923
IGF1	12	9	38	27	23	10	13	12
SLC38A5	64	33	25	21	38	24	178	181
RALBP1	327	293	234	239	312	276	212	179
RUFY3	1288	1185	841	1141	576	545	512	471
CNTN1	48	28	102	131	39	29	21	29
SLC11A1	24	25	11	18	7	3	8	18
WWTR1	911	978	523	858	361	321	818	873
AGPS	476	301	218	270	312	273	366	371
ZNF806	2	0	5	2	6	2	0	1
CXorf56	172	176	148	185	189	165	134	147
ATP1A2	21	13	8	5	3	5	1	5
TTC27	1345	994	610	908	657	689	683	508
ZNF582	26	35	21	35	37	32	27	19
VSIG2	0	0	0	1	1	0	0	3
PHLDB1	178	131	134	210	109	47	118	125
MARCO	6	1	1	4	0	1	1	8
CYP24A1	8	2	2	1	4	1	1	2
PRDM11	32	12	7	23	13	17	3	7
SYT13	7	6	2	3	2	0	3	0
SNAI2	391	315	248	340	421	324	1050	787
CD74	933	796	244	406	402	264	634	531
HGF	402	128	141	161	198	174	124	121
ZRANB1	533	377	246	271	348	294	201	151
NCDN	74	61	44	86	61	42	55	56
ADGRA2	75	27	20	38	34	37	24	29
CCT8L1P	4	2	2	7	0	2	2	1
ZFP64	73	83	42	60	53	48	46	43
MNAT1	248	196	145	180	247	238	191	210
SAMD4A	151	143	86	99	34	27	41	61
RUNX3	9	3	2	5	0	1	3	5
MRE11	182	188	121	175	145	99	108	78
PLEKHB1	38	37	25	25	25	24	26	29
SERPINB1	1114	816	573	779	1832	1794	826	652
CYP3A43	47	36	36	24	32	43	41	19
SLC7A9	16	12	3	9	15	13	3	3
SPAST	213	151	143	154	256	276	134	118
NRXN3	71	61	42	65	25	23	27	34
OSBPL5	31	16	7	4	22	14	5	7
AQR	374	358	247	305	436	372	263	260
CPS1	13	8	79	68	65	63	17	11
C8B	6	1	14	6	4	5	4	3
FHL1	84	62	49	40	80	64	19	15
RTF2	702	424	331	460	566	491	621	520
GABRA1	4	1	20	10	17	6	8	5
NLRP2	67	62	7	14	98	68	68	88
SLC45A4	15	6	7	11	12	9	12	6
RNF10	815	878	594	737	686	613	421	465
ZNF839	38	38	24	37	65	83	27	29
ZDHHC6	485	288	215	268	397	309	479	411
GRAMD1B	2119	1678	1472	1982	2521	2175	2145	2337
RNH1	309	249	285	327	373	371	236	255
NDUFS1	870	681	569	652	1150	1142	650	714
RB1CC1	1138	813	581	760	760	708	623	545
ERP44	905	493	440	657	1075	1026	1143	807
ALAS1	463	256	297	432	546	521	547	436
BIRC3	104	107	96	73	242	220	122	149
AKAP11	559	331	300	407	477	384	338	366
GLRX2	637	393	315	484	376	329	408	316
SNAPC1	290	227	136	234	262	235	161	147
DERA	825	338	423	428	1085	1066	720	518
STRAP	2538	1750	1450	1966	2673	2481	2765	2231
ABCC2	24	9	20	15	31	7	12	13
DEF6	9	10	8	6	11	5	10	3
PLEKHO1	277	175	138	175	45	46	164	161
GCLM	423	374	199	306	276	278	229	267
UBR2	469	482	249	372	413	357	244	257
EHD2	210	292	232	275	204	187	111	130
DEPDC1	36	24	48	39	39	24	17	8
CCDC28A	449	224	146	211	385	396	295	192
RRAGD	42	75	23	29	24	32	32	35
HSF2	221	147	130	191	134	147	119	103
PHF20	438	381	227	272	298	271	253	246
HSD17B6	31	30	22	39	41	31	33	28
NR1H3	111	121	87	108	149	136	92	98
TYMP	86	73	43	52	29	23	27	40
NCAPH2	113	65	67	87	78	77	70	66
TOMM34	1000	647	473	627	730	657	899	858
SEC63	843	610	396	509	730	688	749	663
KPNA6	681	600	365	516	512	458	340	323
VIM	9779	8100	7098	9861	7097	6222	5494	4595
RTEL1-TNFRSF6B	83	69	62	100	168	131	32	40
FAS	235	213	242	234	215	132	389	283
RNASET2	93	57	37	54	121	100	48	49
CD44	177	113	139	170	223	225	332	342
KCNG1	7	2	10	6	11	8	23	31
AGPAT4	253	247	156	220	48	41	59	59
SLAMF7	19	17	21	1	4	3	3	6
BTN3A1	70	55	40	48	67	48	34	27
MIPEP	48	56	35	49	84	85	69	67
PRKCH	1421	1137	845	995	1533	1338	1349	1145
INSRR	12	7	3	6	1	0	3	0
IFNGR1	614	373	391	532	508	549	800	605
B4GALT7	64	39	49	50	111	78	37	53
SH2D2A	18	3	2	2	4	2	35	43
VRK2	308	174	113	167	210	225	192	136
TNFRSF1B	27	8	8	9	9	5	15	13
VEZT	838	804	597	738	633	583	619	558
POU2F2	16	10	8	5	4	2	6	4
BRD9	143	107	72	85	110	105	74	89
SNX1	760	565	609	871	780	678	451	445
TBPL1	500	269	206	327	830	735	505	381
ARNTL2	38	33	33	41	20	18	31	11
BCLAF1	1882	1787	1000	1228	1674	1573	1653	1500
SLC39A9	875	623	419	548	764	778	639	582
ANK1	20	14	9	14	13	10	6	7
IBSP	1	0	7	8	5	1	1	0
TFB1M	167	107	52	75	197	238	159	162
RABEP1	660	478	364	522	509	478	464	401
HMGB3	116	61	49	98	101	97	104	75
NUP160	301	256	183	228	328	260	169	133
BAK1	112	77	74	103	170	128	81	47
MUSK	7	5	33	38	31	12	4	7
IKZF2	45	28	60	55	96	68	26	34
GRN	595	663	418	537	719	554	311	353
FAM13B	647	486	375	495	361	308	240	237
ARHGAP31	138	106	111	120	182	146	152	133
CENPQ	56	22	23	31	33	32	30	27
SARS	1399	972	754	878	867	831	1128	982
RANBP3	132	83	103	140	151	90	76	64
ARID4A	301	210	232	275	230	209	203	233
EIPR1	215	127	105	127	242	212	234	192
PNPLA6	88	44	69	85	52	62	60	68
IFT88	121	110	61	95	157	127	64	81
ALG1	95	82	72	87	130	157	77	83
ZCCHC8	224	210	148	212	239	188	181	181
ABCF2	211	175	226	243	341	314	151	189
CHPF2	153	136	127	129	175	157	70	83
LRRC7	25	22	48	23	49	25	25	29
FUT8	80	46	63	75	55	56	43	44
UBA6	913	560	464	673	681	618	498	488
GAB2	164	149	95	110	49	55	99	86
ATP6V0A1	246	193	175	258	147	158	147	150
PIAS1	484	353	238	330	324	288	310	240
SLC4A7	406	291	164	211	127	85	135	123
APBA2	23	10	14	5	6	7	11	18
MAP2K3	105	55	122	180	103	70	45	52
EFCAB1	12	11	6	4	4	3	3	5
TMSB10	124125	64991	65829	96318	77662	81871	151499	123824
ASTE1	151	138	111	129	141	115	198	183
RNF19A	1387	1217	674	943	668	621	1088	1034
PEX3	132	96	69	101	172	185	226	193
GABARAPL2	1967	1384	1093	1391	1066	841	834	765
MYOC	4	0	0	3	2	2	0	2
SH3YL1	185	126	128	131	155	130	126	144
FAM136A	263	197	181	261	468	384	239	219
VCL	4745	5411	3597	4743	2238	2070	1936	1960
DEPDC1B	15	9	23	14	8	6	16	13
DAPK2	29	18	7	8	8	4	4	6
NSMAF	267	277	180	207	245	206	172	131
ADSS	471	309	265	369	225	216	240	225
STAP1	3	1	11	6	6	3	0	1
TIMP2	545	314	362	541	369	310	523	454
RFC1	466	371	263	343	432	350	337	307
TBC1D23	1449	1083	673	902	517	534	689	544
CUL3	524	344	288	441	461	380	380	326
MYOM2	22	11	1	7	21	27	4	7
OTC	7	1	4	1	4	2	10	12
CYP46A1	26	6	5	7	4	11	18	6
AC118549.1	455	352	243	373	412	350	221	201
SLC18A1	6	6	5	4	7	2	5	7
USP2	7	2	3	13	3	5	1	1
CASR	8	7	14	14	5	7	9	3
TUBG2	89	93	57	95	158	154	62	68
RPL26L1	639	387	342	493	809	726	743	584
FLT4	26	4	4	12	1	2	7	6
NSUN2	206	109	168	192	290	189	137	91
FBXO42	326	392	157	235	262	243	213	218
MFAP3	130	92	108	105	122	101	80	97
MRI1	52	45	75	84	35	68	25	21
METTL1	215	108	84	113	180	173	187	179
HOXC8	22	9	14	6	4	6	9	12
AGA	283	236	177	177	361	305	231	181
PI4K2B	131	79	65	88	66	68	67	27
BOD1L1	379	295	283	347	483	433	301	250
MAT2B	810	583	309	426	537	478	384	302
TLL1	19	5	29	43	34	22	8	12
EDC4	100	82	83	115	94	66	42	36
TRIO	546	533	356	464	503	500	886	805
VCAN	9755	9835	11128	14136	7872	7170	29935	30005
CLEC16A	179	199	122	129	238	267	122	134
MSR1	102	84	20	18	71	87	39	47
CDH1	3	7	4	12	12	12	6	9
MTREX	560	357	323	378	367	408	310	342
DNAH5	11	11	47	30	41	31	13	14
ZFYVE16	527	386	272	419	535	516	366	339
RIPOR1	94	105	73	104	75	52	27	30
C6	10	10	43	42	46	14	7	7
RAI14	362	354	142	204	172	161	352	315
SOX30	6	6	4	4	2	3	3	2
PNKP	577	349	249	321	518	453	356	334
BEST2	10	4	0	5	2	4	2	3
PHLPP2	240	226	106	127	243	188	62	61
SPDL1	103	97	85	105	67	72	104	69
STAU2	377	312	249	370	247	227	241	207
PQLC2	44	28	16	27	26	21	16	12
CTNS	96	72	45	65	70	63	38	39
RTN4R	8	3	0	8	0	0	1	0
PHF23	144	93	158	183	170	163	66	72
CDH10	10	6	15	9	14	16	4	8
INPP4A	205	147	108	128	132	127	94	90
RAB27B	10	7	14	14	4	10	7	6
PSMA4	2753	1784	1434	2049	2526	2269	2806	2188
MYO16	55	35	50	28	39	24	20	31
LSG1	290	282	208	226	306	276	167	174
PARP3	33	16	28	30	81	51	29	37
TNC	2475	1818	1092	1367	317	284	4448	4403
THAP3	206	129	111	161	209	224	109	124
RIPOR3	38	52	31	39	49	41	65	56
TDP1	80	47	43	62	46	24	90	55
AIFM2	107	75	55	94	95	94	99	87
C2orf83	4	4	6	4	2	1	2	3
SPATA7	312	222	101	165	197	170	178	148
MED17	376	243	282	365	396	338	437	374
RETSAT	97	118	97	130	149	123	103	117
CAPG	74	63	35	62	32	15	78	95
AP2S1	2033	1141	852	1194	1781	1853	1434	1270
USH2A	24	17	105	50	67	29	14	13
ZPBP	2	3	7	13	8	2	5	6
TG	64	22	20	29	35	14	21	20
ADAM28	12	8	52	16	55	25	13	3
BARX2	3	5	4	3	1	1	0	1
DCUN1D1	596	354	301	392	392	334	385	332
JADE2	76	57	44	46	29	32	28	23
ZIC2	0	3	3	0	0	1	1	3
LCP2	4	16	16	9	8	3	11	8
TRIT1	151	82	98	104	140	114	95	95
ADRB1	22	10	4	12	19	14	8	6
GUCA2B	3	0	0	2	0	0	0	2
CUL7	122	126	75	98	181	175	91	93
CTNNA1	1913	1863	1191	1717	1786	1728	1327	1342
PHKA2	298	277	171	203	121	114	168	142
CNTLN	122	117	105	103	215	198	124	117
EPHA3	13	13	17	25	15	14	12	21
HSPA5	3566	3188	2782	3832	3663	3569	5188	4016
DSG2	438	295	233	242	376	344	347	311
GEMIN8	208	139	120	111	250	225	159	156
OFD1	339	291	174	190	276	239	259	209
GPM6B	738	477	212	304	146	148	545	458
MAGEC2	3	0	2	0	2	0	0	0
PREX2	5	2	28	27	19	11	12	16
WDR37	204	190	132	160	182	147	189	201
YTHDC2	381	314	257	330	367	350	330	369
CTPS2	98	91	43	93	121	125	73	54
ATP6V1H	325	232	185	249	376	361	280	252
POLR2B	3168	2357	1302	1734	1547	1417	2296	2407
