ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0002237	response to molecule of bacterial origin	277	0.597211697883182	2.63617025123519	1e-10	1.26173913043478e-09	6.91075514874142e-10	1670	tags=39%, list=10%, signal=35%	IL6/CXCL2/HAMP/CXCL3/IL10/IL1B/CXCL1/PPBP/CCR7/REN/PF4/SERPINE1/CD96/TRIB1/THBD/GJB2/SCIMP/TNFAIP3/LY96/HCK/CSF2RB/CD6/CXCL6/TLR2/CD14/IL18/FOS/CSF3/SLPI/CCL2/PTGS2/TAP2/IL24/ZFP36/NLRP3/EDNRB/CXCL5/CARD16/SLC7A5/CCR5/NQO1/HAVCR2/NR4A1/CASP1/PTAFR/S100A8/WNT5A/NFKBIA/IL10RA/NFKBIZ/C5AR1/PLCG2/CCL5/SPI1/TLR1/BTK/ABCA1/MIR21/FASLG/IL12RB2/CD80/TNFRSF1B/IL1A/ZC3H12A/NR1D1/EFNB2/MAPK14/LTF/CITED1/TLR4/CYP1A1/SOD2/FGF10/SLC11A1/PDE4B/CD86/ANKRD1/LYN/PYCARD/ACP5/ARG1/FBXO3/KMO/CXCL8/PTGIR/CARD9/LILRA2/C2/CASP8/CD180/PDCD4/IRAK3/CCL3/CYP27B1/LILRB2/TSPO/PTPN22/ALAD/SMAD6/SBNO2/PF4V1/CX3CR1/ACE/SASH1/NOD2/LILRB1/PTGER4
BP	GO:0002768	immune response-regulating cell surface receptor signaling pathway	265	0.591122450994464	2.59795157202772	1e-10	1.26173913043478e-09	6.91075514874142e-10	2059	tags=40%, list=13%, signal=35%	IGLC3/IGHA1/HLA-DPB1/CCR7/NR4A3/CD3E/TMIGD2/CLEC4D/CD3D/CLEC4E/FFAR2/TRBC2/GATA3/FPR2/LCK/SCIMP/TNFAIP3/LY96/HCK/FPR1/CD14/CLEC7A/VAV3/C3AR1/KIT/PTPRC/TRGC2/BTNL8/CD300A/CD8B/C5AR2/BLNK/CD247/INPP5D/SH2D1A/LCP2/IGHM/CD28/PIK3AP1/NFKBIA/FGR/NFKBIZ/FPR3/FCRL3/TRGC1/TESPA1/C5AR1/PLCG2/TLR1/BTK/SYK/TYROBP/NCKAP1L/CD200R1/LAPTM5/ITK/LGALS3/PDE4D/ZC3H12A/NR1D1/NFAM1/FCER1G/CD3G/UBASH3A/LTF/MNDA/TLR4/PLD2/CD79B/CD79A/PDE4B/LYN/FCGR3A/KLRD1/CD40/TRDC/CLEC12B/KLHL6/CR1/PIK3CD/LILRA2/CTLA4/PTPRJ/TRAC/ADA/LPXN/BANK1/LILRB2/FCGR1A/PTPN22/BCL2/CD38/FYB1/NOD2/LILRB1/FOXP3/SKAP1/APPL2/F2RL1/EIF2B3/FCGR2B/PRAM1/PTPN6/STOML2/MAP3K1
BP	GO:0050729	positive regulation of inflammatory response	120	0.644540570991052	2.58526270983052	1e-10	1.26173913043478e-09	6.91075514874142e-10	1773	tags=42%, list=11%, signal=37%	IL6/IL1B/NLRP12/CCR2/CCL24/CCR7/FFAR2/SERPINE1/NLRP6/OSM/TLR2/IL18/CTSC/PTGS2/NLRP3/CEBPA/PIK3CG/PLA2G2A/CASP1/S100A8/WNT5A/CD28/GPSM3/NFKBIA/LRRK2/NFKBIZ/ALOX5AP/VAMP8/PLCG2/IL1RL1/BTK/MIR21/LILRA5/IL16/ZP3/TLR4/NLRP1/PYCARD/MEFV/ADAM8/NPY5R/ZBP1/PDCD4/CCL3/C3/FCGR1A/C2CD4B/ACE/PTGER4/NLRC4
BP	GO:0050727	regulation of inflammatory response	294	0.57854610419112	2.58469252432461	1e-10	1.26173913043478e-09	6.91075514874142e-10	2097	tags=37%, list=13%, signal=33%	IL6/SIGLEC10/MMP9/HAMP/IL10/SOCS3/IL1B/NLRP12/CCR2/CCL24/CCR7/FFAR2/GATA3/FPR2/SERPINE1/NCF1/NLRP6/TNFAIP3/OSM/HCK/TNFAIP8L2/TLR2/IL18/CTSC/PTGS2/ZFP36/NLRP3/PTPRC/EDNRB/CEBPA/CARD16/PIK3CG/IER3/TNFAIP6/CALCRL/PLA2G2A/CASP1/S100A8/WNT5A/CD28/GPSM3/PIK3AP1/NFKBIA/LRRK2/FGR/NFKBIZ/ALOX5AP/VAMP8/CST7/PLCG2/CCL5/IL1RL1/ALOX15/BTK/PTGES/SYK/MIR21/AOAH/CD200R1/TNFRSF1B/LILRA5/CD200R1L/NR1D1/MAPK14/IL16/ZP3/IL2RA/TLR4/XIAP/NLRP1/SPHK1/KLF4/LYN/PYCARD/MEFV/PBK/ACP5/ADAM8/NPY5R/AKNA/GPX1/ADORA2A/ZBP1/MGLL/ADA/PDCD4/CCL3/C3/FCGR1A/NLRP2/TREX1/SBNO2/C2CD4B/ACE/NOD2/PTGER4/MYD88/FOXP3/NLRC4/CD200/CASP4/FCGR2B/APOA1/BST1/PSMA6/PSMA1/METRNL/GSTP1
BP	GO:0002366	leukocyte activation involved in immune response	239	0.586275321161778	2.56627323270857	1e-10	1.26173913043478e-09	6.91075514874142e-10	1927	tags=41%, list=12%, signal=36%	IL6/IL10/CCR2/LEF1/NR4A3/CLEC4D/CLEC4E/GATA3/APBB1IP/HLX/IL18/SH2D1B/JUNB/KIT/MFNG/NLRP3/PTPRC/GPR183/PCK1/CD300A/PIK3CG/CD244/TBX21/HAVCR2/CORO1A/PTAFR/CD1C/ITGB2/RAC2/ADGRE2/CD28/FGL2/FGR/NFKBIZ/LCP1/EOMES/VAMP8/SLAMF6/PLCG2/SEMA4A/SPI1/BTK/SYK/TYROBP/MIR21/NCKAP1L/PTK2B/CD80/LGALS3/BATF/ZC3H12A/LFNG/ITGAL/FCER1G/DOCK2/BCL3/MILR1/ANXA3/MYB/TLR4/ITGAM/SLC11A1/CD86/LYN/FCGR3A/CD40/PYCARD/GATA2/CR1/GAPT/POU2AF1/PIK3CD/LILRA2/CD180/IL12RB1/ADA/EXOSC3/CCL3/ST3GAL1/DOCK11/TREX1/SBNO2/ICAM1/SPN/CX3CR1/SLAMF1/LILRB1/PTGER4/HLA-F/MYD88/FOXP3/ITM2A/F2RL1/IL18R1/FCGR2B/PRAM1/EXO1
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	246	0.585404421028735	2.55897639782916	1e-10	1.26173913043478e-09	6.91075514874142e-10	1916	tags=37%, list=12%, signal=33%	IGLC3/IGHA1/HLA-DPB1/CCR7/NR4A3/CD3E/TMIGD2/CD3D/FFAR2/TRBC2/GATA3/FPR2/LCK/SCIMP/TNFAIP3/LY96/HCK/FPR1/CD14/CLEC7A/VAV3/C3AR1/PTPRC/TRGC2/BTNL8/CD300A/CD8B/C5AR2/BLNK/CD247/INPP5D/SH2D1A/LCP2/IGHM/CD28/PIK3AP1/NFKBIA/FGR/NFKBIZ/FPR3/FCRL3/TRGC1/TESPA1/C5AR1/PLCG2/TLR1/BTK/SYK/TYROBP/NCKAP1L/LAPTM5/ITK/LGALS3/PDE4D/ZC3H12A/NR1D1/NFAM1/FCER1G/CD3G/UBASH3A/LTF/MNDA/TLR4/PLD2/CD79B/CD79A/PDE4B/LYN/KLRD1/TRDC/KLHL6/CR1/PIK3CD/LILRA2/CTLA4/PTPRJ/TRAC/ADA/LPXN/BANK1/PTPN22/BCL2/CD38/FYB1/NOD2/FOXP3/SKAP1/APPL2/F2RL1/EIF2B3/FCGR2B/PRAM1
BP	GO:0002263	cell activation involved in immune response	243	0.583322973338009	2.55400968953004	1e-10	1.26173913043478e-09	6.91075514874142e-10	1927	tags=40%, list=12%, signal=36%	IL6/IL10/CCR2/LEF1/NR4A3/CLEC4D/CLEC4E/GATA3/APBB1IP/HLX/IL18/SH2D1B/JUNB/KIT/MFNG/NLRP3/PTPRC/GPR183/PCK1/CD300A/PIK3CG/CD244/TCIM/TBX21/HAVCR2/CORO1A/PTAFR/CD1C/ITGB2/RAC2/ADGRE2/CD28/FGL2/FGR/NFKBIZ/LCP1/EOMES/VAMP8/SLAMF6/PLCG2/SEMA4A/SPI1/BTK/SYK/TYROBP/MIR21/NCKAP1L/PTK2B/CD80/LGALS3/BATF/ZC3H12A/LFNG/ITGAL/FCER1G/DOCK2/BCL3/MILR1/ANXA3/MYB/TLR4/ITGAM/SLC11A1/CD86/LYN/FCGR3A/CD40/PYCARD/GATA2/CR1/GAPT/POU2AF1/PIK3CD/LILRA2/CD180/IL12RB1/ADA/EXOSC3/CCL3/ST3GAL1/DOCK11/TREX1/SBNO2/ICAM1/SPN/CX3CR1/SLAMF1/LILRB1/PTGER4/HLA-F/MYD88/FOXP3/ITM2A/F2RL1/IL18R1/FCGR2B/PRAM1/EXO1
BP	GO:0001819	positive regulation of cytokine production	400	0.551619978990016	2.54101171537963	1e-10	1.26173913043478e-09	6.91075514874142e-10	1941	tags=35%, list=12%, signal=32%	IL6/ORM1/IL10/IL1B/NLRP12/CCR2/HLA-DPB1/CCR7/NR4A3/CD3E/TMIGD2/CLEC4E/FFAR2/GATA3/CRLF2/PF4/SERPINE1/SCIMP/LY96/OSM/CYBB/CD6/TLR2/CD14/LTB/CLEC7A/IL18/C3AR1/PTGS2/KIT/CLEC5A/NLRP3/PTPRC/SLC7A5/SORL1/PIK3CG/CD244/TBX21/CD4/HAVCR2/CASP1/PTAFR/WNT5A/AIF1/CD28/GPSM3/SASH3/LRRK2/FGR/EREG/SLAMF6/C5AR1/PLCG2/RGCC/TLR1/IL1RL1/BTK/SYK/TYROBP/MIR21/TLR8/HILPDA/CSF1R/IL12RB2/CD80/LAPTM5/ITK/BATF/IL1A/PDE4D/ALOX15B/LILRA5/NFAM1/FCER1G/MAPK14/IL16/ZP3/BCL3/MNDA/TLR4/CHI3L1/SLC11A1/NLRP1/PDE4B/SPHK1/CD86/CD34/FCGR3A/CD40/PYCARD/MEFV/EBI3/ADAM8/MBP/POU2AF1/PIK3CD/CARD9/LILRA2/EGR1/F3/CASP8/PTPRJ/IL12RB1/GBP5/IFNGR1/IRAK3/CCL3/LILRB2/C3/PTPN22/NLRP2/CD2/ADRA2A/HSPA1B/STAT1/TNFRSF8/SPN/SLAMF1/NOD2/LILRB1/HPSE/PTGER4/HLA-F/HLA-DPA1/IRF1/MYD88/FOXP3/NLRC4/DDX21/ORM2/F2RL1/IL18R1/RBM47/CD200/PYHIN1/DDX1/CD83/NOS2/MCOLN2/TIGIT
BP	GO:0002274	myeloid leukocyte activation	197	0.591689657745495	2.53802159352416	1e-10	1.26173913043478e-09	6.91075514874142e-10	1916	tags=40%, list=12%, signal=36%	IL6/HAMP/IL10/CCR2/NR4A3/CLEC4D/CRLF2/CXCL6/TLR2/CD93/IL18/CTSC/KIT/C1QA/PTPRC/CEBPA/CD300A/PIK3CG/VSIG4/PLA2G2A/HAVCR2/PTAFR/CXCR2/ITGB2/RAC2/WNT5A/ADGRE2/LCP2/AIF1/LRRK2/FGR/VAMP8/C5AR1/CST7/PLCG2/CCL5/SPI1/TLR1/IL1RL1/BTK/SYK/TYROBP/CD33/BATF/TGFBR2/ZC3H12A/NR1D1/FCER1G/DOCK2/MILR1/ANXA3/TLR4/ITGAM/SLC11A1/SPHK1/LYN/FCGR3A/CD300LF/PYCARD/CXCL8/GATA2/PIK3CD/LILRA2/TSPAN32/PLA2G4A/IFNGR1/CCL3/CAMK4/CD2/TREX1/SBNO2/CX3CR1/SLAMF1/JMJD6/MYD88/F2RL1/CD200/FCGR2B/PRAM1
BP	GO:0070665	positive regulation of leukocyte proliferation	138	0.614413199146891	2.52114396345882	1e-10	1.26173913043478e-09	6.91075514874142e-10	1831	tags=42%, list=11%, signal=38%	IL6/IL1B/CCR2/HLA-DPB1/CD3E/TMIGD2/CD1D/CSF2RB/CD6/VAV3/IL18/KIT/PTPRC/GPR183/CSF2RA/HAVCR2/CORO1A/RAC2/AIF1/CD28/SASH3/HES1/FCRL3/CCL5/RASAL3/BTK/SYK/MIR21/NCKAP1L/CSF1R/CD80/IL1A/TGFBR2/CD209/ZP3/IL2RA/TLR4/FGF10/CD86/LYN/FCGR3A/CD40/PYCARD/EBI3/ST6GAL1/CD320/IL12RB1/ADA/LILRB2/PTPN22/BCL2/SLAMF1/CD38/HLA-DPA1/MYD88/FOXP3/TNFRSF4/DNAJA3
BP	GO:0009617	response to bacterium	480	0.535935342849323	2.518083443921	1e-10	1.26173913043478e-09	6.91075514874142e-10	1773	tags=34%, list=11%, signal=31%	IL6/PI3/LCN2/CXCL2/HAMP/CXCL3/IL10/IL1B/CXCL1/CCL20/CDH1/IGHA1/JCHAIN/LYZ/PPBP/CCR7/TREM1/CLEC4D/REN/CLEC4E/TNFSF8/CD1D/FPR2/PF4/SERPINE1/NLRP6/CD96/TRIB1/THBD/GJB2/SCIMP/TNFAIP3/LY96/HCK/CSF2RB/CD6/CXCL6/TLR2/CD14/RGS1/IL18/FOS/CSF3/SLPI/CCR4/CCL2/PTGS2/TAP2/IL24/ZFP36/NLRP3/EDNRB/PCK1/CXCL5/CARD16/SLC7A5/CCR5/PLA2G2A/NQO1/CD4/MPEG1/HAVCR2/NR4A1/VIL1/CASP1/PTAFR/S100A8/WNT5A/IGHM/NFKBIA/CFD/FGR/IL10RA/NFKBIZ/TRDN/STAB1/RARRES2/STATH/C5AR1/PLCG2/CCL5/SPI1/TLR1/RNASE6/BTK/SYK/ABCA1/MIR21/FASLG/IKZF3/IL12RB2/LPO/CD80/TNFRSF1B/IL1A/ZC3H12A/NR1D1/EFNB2/FCER1G/MAPK14/BCL3/LTF/CITED1/ANXA3/TLR4/CYP1A1/SOD2/FGF10/SLC11A1/NLRP1/PDE4B/CD86/ANKRD1/LYN/PRB3/PYCARD/ACP5/ARG1/FBXO3/KMO/CXCL8/GZMA/KLHL6/PTGIR/GPX1/CARD9/LILRA2/C2/CASP8/CD180/TRAC/MIAT/GBP5/LRG1/ABCD2/BANK1/PDCD4/IRAK3/EMILIN2/CCL3/CYP27B1/LILRB2/C3/TSPO/FCGR1A/PTPN22/PYGL/SLC9A9/ALAD/SMAD6/SBNO2/CA5B/SPN/PF4V1/CX3CR1/ACE/SASH1/NOD2/LILRB1/PTGER4/MYD88/B3GALT5/FOXP3/NLRC4
CC	GO:0101002	ficolin-1-rich granule	175	0.596086715571259	2.51702623796399	1e-10	1.26173913043478e-09	6.91075514874142e-10	2925	tags=45%, list=18%, signal=37%	MMP9/SERPINA1/CLEC4D/SIGLEC5/FCAR/HBB/FPR2/MGAM/FPR1/CD93/CD300A/TNFAIP6/BIN2/ITGB2/FGL2/CFD/CTSS/NCKAP1L/LGALS3/CTSH/HK3/FCER1G/MAPK14/TBC1D10C/QPCT/MNDA/ADGRE3/SLC11A1/GMFG/PSMA5/ADAM8/LTA4H/ASAH1/CR1/CRISPLD2/TRPM2/LRG1/PGM2/CSTB/SLC2A3/LILRB2/PYGL/CDA/ITGAX/ALAD/GYG1/HSPA1B/AGL/PSMD6/SIGLEC14/CAT/PSMB1/IMPDH1/CTSZ/DERA/PSMD14/TCIRG1/PSMC2/GSTP1/PSMD13/CTSD/GNS/FCN1/NME2/COTL1/IMPDH2/ARPC5/ILF2/HSP90AB1/DYNLL1/COMMD9/PLEKHO2/PSMD7/CCT8/PRDX4/DDX3X/PSMD12/XRCC6/COPB1
BP	GO:0002764	immune response-regulating signaling pathway	374	0.548118846173451	2.5116697702983	1e-10	1.26173913043478e-09	6.91075514874142e-10	1916	tags=34%, list=12%, signal=31%	IGLC3/IGHA1/HLA-DPB1/CCR7/NR4A3/CD3E/TMIGD2/CLEC4D/CD3D/CLEC4E/FFAR2/TRBC2/GATA3/FPR2/LCK/NLRP6/SCIMP/TNFAIP3/LY96/HCK/TLR2/FPR1/CD14/CLEC7A/VAV3/C3AR1/KIT/NLRP3/PTPRC/TRGC2/BTNL8/CD300A/CD8B/C5AR2/BLNK/CD247/HAVCR2/INPP5D/CASP1/SH2D1A/LCP2/IGHM/CD28/PIK3AP1/NFKBIA/RNF125/FGR/NFKBIZ/FPR3/FCRL3/TRGC1/TESPA1/C5AR1/PLCG2/CTSS/TLR1/BTK/SYK/TYROBP/TLR8/NCKAP1L/CD200R1/CD33/LAPTM5/ITK/LGALS3/PDE4D/ZC3H12A/CTSH/NR1D1/NFAM1/FCER1G/CD3G/UBASH3A/LTF/MNDA/MAP2K6/TLR4/XIAP/PLD2/CD79B/NLRP1/CD79A/PDE4B/LYN/FCGR3A/CD300LF/KLRD1/CD40/PYCARD/MEFV/TRDC/CLEC12B/KLHL6/CR1/SLC46A2/PIK3CD/LILRA2/CTLA4/PTPRJ/TRAC/SLC15A3/ADA/LPXN/BANK1/SLC15A2/IRAK3/LILRB2/FCGR1A/PTPN22/BCL2/HSPA1B/CD38/FYB1/NOD2/LILRB1/IRF1/MYD88/ARRB2/FOXP3/NLRC4/SKAP1/APPL2/F2RL1/EIF2B3/FCGR2B/PRAM1
