ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002367	cytokine production involved in immune response	18/267	121/18614	1.26991417465186e-13	1.46001647837248e-11	1.01998210263904e-11	IL6/TREM1/IL18/SLC7A5/NR4A3/WNT5A/PLCG2/IL1B/KIT/CD96/FFAR2/CCR2/CLEC7A/NLRP3/SCIMP/SASH3/GATA3/IL10	18
BP	GO:0022409	positive regulation of cell-cell adhesion	27/267	321/18614	1.54796518961674e-13	1.72734703806056e-11	1.20674190323683e-11	IL6/MAP3K8/CD27/IL18/LEF1/NR4A3/NFKBIZ/WNT5A/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/CCR2/NLRP3/HLA-DPB1/TMIGD2/PTPRC/PTAFR/ITGB2/HAVCR2/IL2RG/SASH3/GATA3/IL10	27
BP	GO:0002366	leukocyte activation involved in immune response	26/267	296/18614	1.62828782305835e-13	1.76506400019525e-11	1.23309134991306e-11	IL6/JUNB/IL18/LEF1/NR4A3/NFKBIZ/ADGRE2/APBB1IP/PLCG2/KIT/CLEC4E/PIK3CG/CCR2/LCP1/NLRP3/SH2D1B/PTPRC/PTAFR/CLEC4D/ITGB2/HAVCR2/VAMP8/RAC2/FGR/GATA3/IL10	26
BP	GO:0019221	cytokine-mediated signaling pathway	33/267	492/18614	1.70410318553944e-13	1.79593541276017e-11	1.25465842724804e-11	CXCL2/CXCL1/IL6/TNFAIP3/NFKBIA/CXCL3/CXCR4/CCL20/CARD16/IL18/CXCL6/IL1R2/ACKR3/NFKBIZ/WNT5A/CCL2/IL1B/HCK/KIT/PF4/CXCL5/OSM/SOCS1/CCR1/CCR2/PTPRC/NLRP6/CASP1/CCL24/CXCR5/IL2RG/CXCR1/CRLF2	33
BP	GO:0050863	regulation of T cell activation	29/267	377/18614	1.82152155584618e-13	1.86779804942714e-11	1.30486238339138e-11	IL6/JUNB/MAP3K8/CD27/IL18/LEF1/NFKBIZ/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/RIPOR2/TNFAIP8L2/CCR2/NLRP3/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/IL2RG/TNFSF8/RAC2/SASH3/GATA3/IL10/SIT1	29
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	25/267	273/18614	1.9026110621678e-13	1.89960693943806e-11	1.32708439183893e-11	IL6/MAP3K8/CD27/IL18/LEF1/NR4A3/NFKBIZ/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/CCR2/NLRP3/HLA-DPB1/TMIGD2/PTPRC/PTAFR/ITGB2/HAVCR2/IL2RG/SASH3/GATA3	25
BP	GO:0002263	cell activation involved in immune response	26/267	300/18614	2.22857664709909e-13	2.16800507669075e-11	1.51459001279231e-11	IL6/JUNB/IL18/LEF1/NR4A3/NFKBIZ/ADGRE2/APBB1IP/PLCG2/KIT/CLEC4E/PIK3CG/CCR2/LCP1/NLRP3/SH2D1B/PTPRC/PTAFR/CLEC4D/ITGB2/HAVCR2/VAMP8/RAC2/FGR/GATA3/IL10	26
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	26/267	302/18614	2.60225344940952e-13	2.46823739676493e-11	1.72433531200347e-11	TNFAIP3/NFKBIA/CD14/NR4A3/NFKBIZ/FPR1/PLCG2/HCK/LCK/LY96/FFAR2/CLEC7A/CD3D/HLA-DPB1/TMIGD2/PIK3AP1/PTPRC/C5AR1/SCIMP/BTNL8/C3AR1/FGR/IGHA1/GATA3/TRGC2/FPR2	26
BP	GO:0031663	lipopolysaccharide-mediated signaling pathway	14/267	65/18614	3.52611363162227e-13	3.26294515082314e-11	2.27952609099483e-11	TRIB1/TNFAIP3/NFKBIA/TLR2/CD14/CARD16/IL18/CCL2/PLCG2/IL1B/HCK/LY96/SCIMP/PTAFR	14
BP	GO:0002718	regulation of cytokine production involved in immune response	17/267	119/18614	1.22070668794085e-12	1.08057546227759e-10	7.54900816806306e-11	IL6/IL18/SLC7A5/NR4A3/WNT5A/PLCG2/IL1B/KIT/CD96/FFAR2/CCR2/CLEC7A/NLRP3/SCIMP/SASH3/GATA3/IL10	17
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	28/267	378/18614	1.22469016547012e-12	1.08057546227759e-10	7.54900816806306e-11	IL6/MAP3K8/CD27/IL18/LEF1/NR4A3/NFKBIZ/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/RIPOR2/TNFAIP8L2/CCR2/NLRP3/HLA-DPB1/TMIGD2/PTPRC/PTAFR/ITGB2/HAVCR2/IL2RG/SASH3/GATA3/IL10	28
BP	GO:0071674	mononuclear cell migration	21/267	202/18614	1.51218485284867e-12	1.30391575720633e-10	9.10928578821283e-11	IL6/SERPINE1/CXCR4/CCL20/NEDD9/NLRP12/WNT5A/RARRES2/CCL2/DOCK8/PIK3CG/RIPOR2/CCR1/CCR2/C5AR1/APOD/CCL24/C3AR1/CXCR1/GATA3/FPR2	21
BP	GO:0032760	positive regulation of tumor necrosis factor production	16/267	105/18614	2.0508597090273e-12	1.72910260801102e-10	1.20796836194871e-10	IL6/TLR2/CD14/ORM1/WNT5A/PLCG2/PF4/CYBB/LY96/CCR2/CLEC7A/PTPRC/PTAFR/HAVCR2/SASH3/LRRK2	16
BP	GO:0070098	chemokine-mediated signaling pathway	15/267	91/18614	3.13108498616202e-12	2.5824644429345e-10	1.80413546799907e-10	CXCL2/CXCL1/CXCL3/CXCR4/CCL20/CXCL6/ACKR3/CCL2/PF4/CXCL5/CCR1/CCR2/CCL24/CXCR5/CXCR1	15
BP	GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	16/267	109/18614	3.71285329625188e-12	2.99714157574035e-10	2.09383305710241e-10	IL6/TLR2/CD14/ORM1/WNT5A/PLCG2/PF4/CYBB/LY96/CCR2/CLEC7A/PTPRC/PTAFR/HAVCR2/SASH3/LRRK2	16
BP	GO:0042742	defense response to bacterium	25/267	314/18614	4.34935551906401e-12	3.43780309152684e-10	2.40168359583403e-10	IL6/PI3/SERPINE1/TLR2/TREM1/CCL20/IL18/CXCL6/LYZ/NFKBIZ/RARRES2/JCHAIN/IL1B/CLEC4E/C5AR1/NLRP6/CLEC4D/HAVCR2/TNFSF8/FGR/S100A8/IGHA1/IL10/MPEG1/FPR2	25
BP	GO:0010720	positive regulation of cell development	29/267	432/18614	5.45147520652324e-12	4.22099937419371e-10	2.94883234587014e-10	TRIB1/IL6/EGR2/ID2/CHODL/CD27/TLR2/CXCR4/IL18/NEDD9/SLC7A5/LEF1/FOS/NFKBIZ/TGM2/IL1B/KIT/HES1/PF4/SOCS1/CCR1/CLEC7A/NLRP3/PTPRC/EVI2B/IL2RG/SASH3/GATA3/IL10	29
BP	GO:0002831	regulation of response to biotic stimulus	30/267	463/18614	5.59189584722065e-12	4.24313056887103e-10	2.96429341964244e-10	TRIB1/TNFAIP3/NFKBIA/TLR2/CD14/CARD16/CXCL6/NFKBIZ/NCF1/WNT5A/CD1D/PLCG2/IL1B/HCK/CLEC4E/CD96/LY96/FFAR2/CLEC7A/NLRP3/SH2D1B/PIK3AP1/RNF125/KLRB1/SCIMP/NLRP6/CASP1/HAVCR2/FGR/FPR2	30
BP	GO:0002720	positive regulation of cytokine production involved in immune response	14/267	80/18614	7.19912946456614e-12	5.35558768403215e-10	3.74146707776626e-10	IL6/IL18/SLC7A5/NR4A3/WNT5A/PLCG2/IL1B/KIT/FFAR2/CLEC7A/NLRP3/SCIMP/SASH3/GATA3	14
BP	GO:0050870	positive regulation of T cell activation	22/267	249/18614	1.15448376940573e-11	8.42329119447177e-10	5.88459540761865e-10	IL6/MAP3K8/CD27/IL18/LEF1/NFKBIZ/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/CCR2/NLRP3/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/IL2RG/SASH3/GATA3	22
BP	GO:0032102	negative regulation of response to external stimulus	29/267	446/18614	1.18780096616006e-11	8.50286201058726e-10	5.94018437495734e-10	TRIB1/SIGLEC10/TNFAIP3/SOCS3/SERPINE1/CARD16/THBD/NLRP12/ZFP36/WNT5A/HAMP/CCL2/IER3/HCK/TNFAIP6/CD96/TNFAIP8L2/NLRP3/RNF125/PTPRC/NLRP6/HAVCR2/SERPINB2/PLAU/CALCRL/FGR/GATA3/IL10/FPR2	29
BP	GO:0030098	lymphocyte differentiation	28/267	422/18614	1.70871249717748e-11	1.20052874338729e-09	8.38701377756898e-10	IL6/JUNB/ID2/CD27/IL18/ADGRG3/LEF1/NFKBIZ/CD1D/PLCG2/IL1B/KIT/CLEC4E/LCK/SOCS1/CCR2/CD3D/NLRP3/PTPRC/CLEC4D/IKZF1/LYL1/IL2RG/TNFSF8/SASH3/IL11/GATA3/IL10	28
BP	GO:0032640	tumor necrosis factor production	19/267	185/18614	2.24422910475684e-11	1.52046521847276e-09	1.06221219657476e-09	IL6/TNFAIP3/TLR2/CD14/ORM1/ZFP36/WNT5A/PLCG2/PF4/CYBB/LY96/CCR2/CLEC7A/PTPRC/PTAFR/HAVCR2/SASH3/LRRK2/IL10	19
BP	GO:0032680	regulation of tumor necrosis factor production	19/267	185/18614	2.24422910475684e-11	1.52046521847276e-09	1.06221219657476e-09	IL6/TNFAIP3/TLR2/CD14/ORM1/ZFP36/WNT5A/PLCG2/PF4/CYBB/LY96/CCR2/CLEC7A/PTPRC/PTAFR/HAVCR2/SASH3/LRRK2/IL10	19
BP	GO:0022407	regulation of cell-cell adhesion	30/267	491/18614	2.41742026077242e-11	1.60906885427554e-09	1.12411158201753e-09	IL6/MAP3K8/CD27/IL18/LEF1/CDH1/NR4A3/NFKBIZ/WNT5A/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/RIPOR2/TNFAIP8L2/CCR2/NLRP3/HLA-DPB1/TMIGD2/PTPRC/PTAFR/ITGB2/HAVCR2/IL2RG/SASH3/GATA3/IL10	30
BP	GO:0045088	regulation of innate immune response	26/267	373/18614	3.17774132497554e-11	2.07868113568228e-09	1.45218741493438e-09	TNFAIP3/NFKBIA/TLR2/CD14/NFKBIZ/NCF1/WNT5A/CD1D/PLCG2/HCK/CLEC4E/CD96/LY96/FFAR2/CLEC7A/NLRP3/SH2D1B/PIK3AP1/RNF125/KLRB1/SCIMP/NLRP6/CASP1/HAVCR2/FGR/FPR2	26
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	19/267	190/18614	3.58655314679054e-11	2.26789710648722e-09	1.58437558309098e-09	IL6/TNFAIP3/TLR2/CD14/ORM1/ZFP36/WNT5A/PLCG2/PF4/CYBB/LY96/CCR2/CLEC7A/PTPRC/PTAFR/HAVCR2/SASH3/LRRK2/IL10	19
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	19/267	190/18614	3.58655314679054e-11	2.26789710648722e-09	1.58437558309098e-09	IL6/TNFAIP3/TLR2/CD14/ORM1/ZFP36/WNT5A/PLCG2/PF4/CYBB/LY96/CCR2/CLEC7A/PTPRC/PTAFR/HAVCR2/SASH3/LRRK2/IL10	19
BP	GO:1903131	mononuclear cell differentiation	29/267	474/18614	5.15433303404704e-11	3.20582615265155e-09	2.23962218804667e-09	IL6/JUNB/ID2/CD27/IL18/ADGRG3/LEF1/FOS/NFKBIZ/CD1D/PLCG2/IL1B/KIT/CLEC4E/LCK/SOCS1/CCR2/CD3D/NLRP3/PTPRC/CLEC4D/IKZF1/LYL1/IL2RG/TNFSF8/SASH3/IL11/GATA3/IL10	29
BP	GO:0051251	positive regulation of lymphocyte activation	24/267	327/18614	6.53903234544294e-11	4.00146592235653e-09	2.79546408248308e-09	IL6/MAP3K8/CD27/IL18/LEF1/NFKBIZ/CD1D/CCL2/IL1B/DOCK8/HES1/LCK/SOCS1/CCR2/CLEC7A/NLRP3/HLA-DPB1/TMIGD2/PTPRC/HAVCR2/IL2RG/SASH3/GATA3/IL10	24
