ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04064	NF-kappa B signaling pathway	90	0.611690473643962	2.31915443828514	5.68915308071137e-10	1.73260571094392e-08	1.1541631130247e-08	1511	tags=29%, list=9%, signal=26%	CXCL2/CXCL3/IL1B/CXCL1/LCK/TNFAIP3/LY96/CD14/LTB/PTGS2/PLAU/BCL2A1/TNFSF14/BLNK/NFKBIA/PLCG2/BTK/SYK/TLR4/XIAP/LYN/CD40/CXCL8/BCL2/ICAM1/GADD45B
hsa05142	Chagas disease	89	0.610034987411037	2.30121756557937	1.66754986271126e-09	4.65524336673559e-08	3.10105763942795e-08	1730	tags=35%, list=11%, signal=31%	IL6/IL10/IL1B/CD3E/CD3D/SERPINE1/TLR2/FOS/CCL2/C1QA/C1QC/CD247/NFKBIA/CCL5/FASLG/TGFBR2/GNA15/MAPK14/CD3G/TLR4/TGFB2/PLCB2/CXCL8/PIK3CD/CASP8/IFNGR1/CCL3/C3/FAS/ACE/MYD88
hsa04620	Toll-like receptor signaling pathway	77	0.622996376274813	2.30526456825528	3.85865054215794e-09	9.94344562786853e-08	6.62375639625492e-08	1806	tags=34%, list=11%, signal=30%	IL6/IL1B/LY96/TLR2/CD14/FOS/MAP3K8/NFKBIA/CCL5/TLR1/TLR8/CD80/MAPK14/MAP2K6/TLR4/CD86/CTSK/CD40/CXCL8/PIK3CD/CASP8/CCL3/SPP1/STAT1/MYD88/MAP2K1
hsa05134	Legionellosis	52	0.681861398641071	2.33570265880707	6.25412562272017e-09	1.49652291686518e-07	9.96898219561411e-08	1773	tags=40%, list=11%, signal=36%	IL6/CXCL2/CXCL3/IL1B/CXCL1/TLR2/CD14/IL18/CASP1/ITGB2/NFKBIA/TLR4/ITGAM/PYCARD/CXCL8/CR1/CASP8/C3/HSPA1B/MYD88/NLRC4
hsa04625	C-type lectin receptor signaling pathway	94	0.577427194603848	2.20753407823186	1.02097830916574e-08	2.28018489047015e-07	1.51892913363605e-07	1713	tags=30%, list=11%, signal=27%	IL6/IL10/IL1B/EGR2/CLEC1B/CLEC4D/CLEC4E/CLEC7A/PTGS2/NLRP3/CASP1/NFKBIA/PLCG2/SYK/CD209/FCER1G/MAPK14/BCL3/CCL22/PYCARD/PIK3CD/CARD9/EGR3/CALM2/CASP8/STAT1/PLK3/IRF1
hsa04630	JAK-STAT signaling pathway	115	0.541296152797887	2.12210499329714	1.16048610488492e-08	2.4297677821028e-07	1.61857272523423e-07	2088	tags=30%, list=13%, signal=26%	IL6/IL11/IL10/SOCS3/CRLF2/IL2RB/OSM/CSF2RB/CSF3/IL24/IL2RG/CSF2RA/IL10RA/SOCS1/SOCS2/LIF/IL12RB2/CSF3R/STAT4/IL2RA/IL15RA/MCL1/PIK3CD/IL3RA/CISH/IL12RB1/IFNGR1/BCL2/STAT1/GHR/PDGFB/STAT5A/PTPN6/PIM1
hsa04662	B cell receptor signaling pathway	76	0.606616375432413	2.23266589866745	1.32511453635291e-08	2.61125511575426e-07	1.73946923657471e-07	2028	tags=33%, list=13%, signal=29%	VAV3/FOS/BLNK/INPP5D/RAC2/PIK3AP1/NFKBIA/PLCG2/BTK/SYK/LILRA5/CD79B/CD79A/LILRA6/LYN/PIK3CD/LILRA2/BANK1/LILRB2/LILRB1/MAP2K1/FCGR2B/IFITM1/LILRB3/PTPN6
hsa04650	Natural killer cell mediated cytotoxicity	89	0.584773455173594	2.20592420877541	2.37845241468091e-08	4.42656421621169e-07	2.94872463106639e-07	2028	tags=36%, list=13%, signal=32%	GZMB/LCK/CD48/VAV3/SH2D1B/CD244/CD247/SH2D1A/ITGB2/RAC2/LCP2/PLCG2/SYK/TYROBP/PTK2B/FASLG/SHC4/ITGAL/FCER1G/HCST/FCGR3B/FCGR3A/KLRD1/PIK3CD/IFNGR1/PRF1/FAS/ICAM1/MAP2K1/ICAM2/BID/PTPN6
hsa05167	Kaposi sarcoma-associated herpesvirus infection	166	0.474008660156979	1.96326534572651	9.81147374783402e-08	1.72991773974968e-06	1.15237253991181e-06	3150	tags=33%, list=19%, signal=27%	IL6/CXCL2/CXCL3/CXCL1/LEF1/HCK/CCR1/FOS/CCR4/PTGS2/ZFP36/PIK3CG/CCR5/GNG2/NFKBIA/GNGT2/PLCG2/SYK/CD200R1/CD200R1L/MAPK14/PIK3R6/MAP2K6/PIK3R5/CD86/LYN/CXCL8/PIK3CD/CALM2/CASP8/IFNGR1/C3/FAS/ICAM1/STAT1/HLA-F/GNG5/MAP2K1/PDGFB/BID/GNB4/HLA-E/FGF2/JAK1/HLA-B/UBB/MAPK13/BECN1/PIK3C3/CASP3/BAK1/IRF7/TRAF3/MICA/ATG3
hsa05020	Prion disease	237	0.422240725334091	1.83986262315583	2.4475433445443e-07	4.0996351021117e-06	2.73094310022837e-06	4196	tags=48%, list=26%, signal=36%	IL6/IL1B/NCF1/CYBB/TUBB1/C1QA/C1QC/TUBA3D/NCF4/RAC2/NCF2/CCL5/IL1A/MAPK14/GRIN3B/TUBA4A/PSMA5/ATF6B/NDUFC2-KCTD14/SDHD/PIK3CD/EGR1/SDHB/NDUFB8/NDUFA7/HSPA1B/PSMA3/PSMD4/TUBB/NDUFA9/PSMD6/TUBB6/NDUFA12/NDUFS3/PSMB1/ATP5MC3/ATP5PD/CYC1/ATP5MC1/VDAC2/PSMB3/SLC25A5/PSMD14/PSMA6/PSMD8/PSMA1/PSMC4/PSMC2/NDUFV2/PSMD13/TUBA1C/NDUFA8/EIF2S1/NDUFA11/PSMB6/NDUFB7/COX7A2/NDUFA4/NDUFB6/COX6A1/PSMC6/PSMD7/PSMD9/NDUFB3/ATP5PO/ATP5F1A/MAPK13/NDUFC2/NDUFS5/ATP5F1B/COX6C/SOD1/CASP3/PSMD12/NDUFAB1/PSMA7/UQCRHL/PSMB4/NDUFC1/UQCR11/NDUFB11/PSMC1/SDHC/COX5B/PSMB5/PSMB7/NDUFS8/NDUFB9/PSMA4/NDUFA10/BAX/TUBA1A/UQCRFS1/PSMD2/NDUFB2/PSMB2/ATP5PB/NDUFA3/NDUFS2/HSPA8/VDAC1/PSMA2/UQCR10/PSMD11/PSMC3/UQCRH/TUBA1B/NDUFA2/NDUFA1/NOTCH1/ITPR2/NDUFB4/NDUFS4/NDUFB5
hsa05162	Measles	118	0.511250770491365	2.01579898347781	4.89582592684684e-07	7.81000802616043e-06	5.2025819373009e-06	2464	tags=27%, list=15%, signal=23%	IL6/IL1B/CD3E/CD3D/IL2RB/TNFAIP3/TLR2/FOS/IL2RG/CD28/NFKBIA/FASLG/IL1A/CD209/CD3G/IL2RA/TLR4/PIK3CD/CASP8/BCL2/FAS/HSPA1B/STAT1/SLAMF1/MYD88/FCGR2B/STAT5A/BID/EIF2S1/JAK1/OAS2/IRAK1
hsa05171	Coronavirus disease - COVID-19	189	0.443191900986404	1.86612196462907	6.43779029534243e-07	9.37678151712919e-06	6.24627708289517e-06	1730	tags=17%, list=11%, signal=16%	IL6/IL1B/F13A1/CYBB/TLR2/FOS/CSF3/C3AR1/CCL2/C1QA/C1QC/NLRP3/HBEGF/CASP1/NFKBIA/CFD/C5AR1/PLCG2/SYK/TLR8/FCGR2A/MAPK14/TLR4/CXCL8/PIK3CD/C2/C1R/C3/STAT1/ACE/RPS26/MMP1/MYD88
hsa05132	Salmonella infection	234	0.412388462817494	1.79288223567775	6.26082694747008e-07	9.37678151712919e-06	6.24627708289517e-06	2907	tags=25%, list=18%, signal=21%	IL6/IL1B/LEF1/LY96/TLR2/CD14/IL18/FOS/TUBB1/NLRP3/PTPRC/TUBA3D/PIK3CG/CASP1/NFKBIA/CYTH4/CASP5/NCKAP1L/MAPK14/RIPK3/MAP2K6/TLR4/TUBA4A/PYCARD/MLKL/CXCL8/PIK3CD/M6PR/CASP8/PIK3C2B/BCL2/PODXL/RILP/TUBB/TXN/TUBB6/MYD88/ELMO1/NLRC4/MAP2K1/CASP4/TUBA1C/VPS41/ARPC5/IRAK1/BIRC3/HSP90AB1/DYNLL1/VPS11/RAB5C/TAB3/MYL12A/PFN1/MAPK13/DYNC1I1/PIK3C3/CASP3/BAK1
hsa05144	Malaria	38	0.69044552080608	2.19939065305269	6.77680911058478e-07	9.45929605019125e-06	6.30124355896479e-06	1132	tags=55%, list=7%, signal=52%	IL6/IL10/IL1B/HBB/TLR2/KLRB1/IL18/CSF3/CCL2/ITGB2/HBA2/ITGAL/TLR4/TGFB2/SDC1/CD40/MET/CXCL8/SDC2/CR1/GYPC
hsa05146	Amoebiasis	78	0.558528081198888	2.06291741980563	8.78065052191592e-07	1.17660716993673e-05	7.83788593956285e-06	1158	tags=27%, list=7%, signal=25%	IL6/CXCL2/CXCL3/IL10/IL1B/CXCL1/CD1D/TLR2/CD14/IL1R2/CD1C/ITGB2/GNA15/TLR4/ITGAM/TGFB2/PLCB2/ARG1/SERPINB9/CXCL8/PIK3CD
hsa05202	Transcriptional misregulation in cancer	146	0.463491812646803	1.88522319985587	1.20973944763567e-06	1.55870274983827e-05	1.03831887813264e-05	1190	tags=21%, list=7%, signal=20%	IL6/MMP9/GZMB/NR4A3/IL2RB/DUSP6/FLI1/CD14/ID2/PLAU/CEBPA/BCL2A1/LYL1/IL1R2/NFKBIZ/SPI1/CSF1R/COMMD3-BMI1/TGFBR2/ITGB7/BCL11B/PER2/ITGAM/CD86/CD40/MET/WT1/CXCL8/MYCN/FLT3/REL
hsa05161	Hepatitis B	141	0.469193915918642	1.89940887574632	1.52471891128205e-06	1.89178087140551e-05	1.26019652706353e-05	2059	tags=20%, list=13%, signal=17%	IL6/MMP9/EGR2/TLR2/FOS/SLC10A1/NFKBIA/PTK2B/FASLG/TGFBR2/STAT4/MAPK14/MAP2K6/TLR4/TGFB2/ATF6B/CXCL8/PIK3CD/EGR3/CASP8/BCL2/FAS/STAT1/MYD88/MAP2K1/STAT5A/BID/MAP3K1
hsa00190	Oxidative phosphorylation	109	0.510087416475977	1.98451044668581	2.09015421501819e-06	2.50072022153962e-05	1.66583719392427e-05	5146	tags=68%, list=32%, signal=47%	NDUFC2-KCTD14/SDHD/PPA1/SDHB/ATP6V1F/NDUFB8/NDUFA7/NDUFA9/NDUFA12/ATP6V1C1/NDUFS3/ATP5MC3/ATP5PD/CYC1/ATP5MC1/TCIRG1/NDUFV2/NDUFA8/ATP5MF/NDUFA11/NDUFB7/COX7A2/NDUFA4/NDUFB6/COX6A1/NDUFB3/ATP5PO/ATP5F1A/ATP6V1D/NDUFC2/NDUFS5/ATP5F1B/ATP6V0E1/COX6C/NDUFAB1/UQCRHL/NDUFC1/UQCR11/NDUFB11/SDHC/COX5B/ATP6V0C/ATP6V1H/NDUFS8/NDUFB9/ATP6V1G1/NDUFA10/COX11/UQCRFS1/NDUFB2/ATP5PB/NDUFA3/NDUFS2/UQCR10/UQCRH/NDUFA2/NDUFA1/COX17/NDUFB4/NDUFS4/NDUFB5/COX6B1/ATP6V1B2/ATP6V0B/UQCRQ/NDUFS6/COX8A/COX7A2L/COX7B/UQCRC1/ATP6V1E1/ATP5F1E/NDUFB10/NDUFA13
hsa04640	Hematopoietic cell lineage	76	0.548918072959216	2.02030593352295	2.64166209852526e-06	3.05157518277918e-05	2.03278535349312e-05	1411	tags=50%, list=9%, signal=46%	IL6/IL11/IL1B/ANPEP/HLA-DPB1/CD3E/CD3D/CD7/CD1D/CD14/CSF3/KIT/CD8B/MME/CSF2RA/IL1R2/CD4/CD1C/CD37/CSF1R/CD33/CD44/IL1A/CSF3R/CD3G/IL2RA/ITGAM/CD34/FCER2/CR1/CD9/CD5/FLT3/IL3RA/ITGA4/CD59/FCGR1A/CD2
hsa04660	T cell receptor signaling pathway	108	0.49632771802101	1.93753249904905	2.91668781379416e-06	3.25696805873681e-05	2.16960637376969e-05	1176	tags=18%, list=7%, signal=16%	IL10/CD3E/CD3D/LCK/VAV3/FOS/MAP3K8/PTPRC/CD8B/CD4/CD247/LCP2/CD28/NFKBIA/ITK/MAPK14/CD3G/PIK3CD/CTLA4
hsa04512	ECM-receptor interaction	78	-0.549082509630375	-2.09466725559131	3.45854404118018e-06	3.73745888321084e-05	2.48968195833684e-05	2692	tags=38%, list=17%, signal=32%	LAMC1/COL9A2/LAMB4/TNR/LAMA4/LAMB2/FREM2/COL4A5/FN1/LAMA2/SDC4/THBS1/ITGA3/COL6A1/FREM1/ITGA9/LAMC3/THBS2/COL1A2/TNXB/LAMA5/COL1A1/ITGB4/RELN/COL6A2/VWF/GP1BB/COL2A1/NPNT/SV2C
hsa04623	Cytosolic DNA-sensing pathway	54	0.60908448407774	2.10523926307145	3.69558394797519e-06	3.86881444553652e-05	2.57718354266691e-05	1859	tags=30%, list=11%, signal=26%	IL6/IL1B/IL18/NLRP3/CASP1/NFKBIA/CCL5/RIPK3/PYCARD/MEFV/MLKL/ZBP1/CASP8/TREX1/POLR3K/POLR2L
hsa05133	Pertussis	67	0.57404141957564	2.06671842550809	4.52325737133017e-06	4.59179157392608e-05	3.05878967375437e-05	1886	tags=39%, list=12%, signal=34%	IL6/IL10/IL1B/LY96/CXCL6/CD14/FOS/C1QA/C1QC/NLRP3/CXCL5/CASP1/ITGB2/IL1A/MAPK14/TLR4/ITGAM/PYCARD/CXCL8/C2/CALM2/C1R/C3/IRF1/MYD88/NOS2
hsa04670	Leukocyte transendothelial migration	93	0.516114694514467	1.96895414256162	6.57510225222047e-06	6.47840957204076e-05	4.3155469890735e-05	1506	tags=25%, list=9%, signal=23%	MMP9/RASSF5/NCF1/CYBB/VAV3/CXCR4/MMP2/NCF4/ITGB2/RAC2/NCF2/PLCG2/PTK2B/ITK/ITGAL/MAPK14/ITGAM/CLDN11/PIK3CD/CLDN5/F11R/ITGA4/ICAM1
hsa05323	Rheumatoid arthritis	74	0.543641764877217	1.98941081573334	6.9595812854434e-06	6.66131351606726e-05	4.43738716545564e-05	1748	tags=47%, list=11%, signal=42%	IL6/IL11/CXCL2/CXCL3/IL1B/CXCL1/CCL20/HLA-DPB1/CXCL6/TLR2/LTB/IL18/FOS/CCL2/CXCL5/ITGB2/CD28/CCL5/CD80/IL1A/ITGAL/TLR4/TGFB2/CD86/CTSK/CTSL/ACP5/CXCL8/CTLA4/ATP6V1F/CCL3/ICAM1/MMP1/HLA-DPA1/ATP6V1C1
hsa05221	Acute myeloid leukemia	64	0.559506145201421	2.0016602863542	1.13828510175475e-05	0.0001059237525244	7.05603630327505e-05	2088	tags=27%, list=13%, signal=23%	LEF1/DUSP6/CD14/KIT/CEBPA/BCL2A1/SPI1/CSF1R/PER2/ITGAM/PIK3CD/FLT3/FCGR1A/MAP2K1/STAT5A/PIM2/PIM1
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	84	0.525642791994525	1.96906114204542	1.25282321926652e-05	0.000113431291474131	7.55614573213376e-05	2361	tags=26%, list=15%, signal=22%	CD3E/CD3D/LCK/TLR2/FOS/CD4/CD247/CD28/NFKBIA/BATF/MAPK14/CD3G/MAP2K6/TLR4/PIK3CD/IFNGR1/STAT1/MYD88/MAP2K1/PTPN6/CD274/JAK1
hsa04932	Non-alcoholic fatty liver disease	140	0.447050039975015	1.80392442721866	1.75126795076121e-05	0.000154388095659212	0.000102844544476836	4261	tags=49%, list=26%, signal=36%	IL6/SOCS3/IL1B/FOS/CEBPA/FASLG/IL1A/MAPK14/NDUFC2-KCTD14/SDHD/CXCL8/PIK3CD/CASP8/SDHB/NDUFB8/NDUFA7/FAS/NDUFA9/NDUFA12/NDUFS3/CYC1/BID/NDUFV2/NDUFA8/EIF2S1/NDUFA11/NDUFB7/COX7A2/NDUFA4/NDUFB6/COX6A1/NDUFB3/MAPK13/NDUFC2/NDUFS5/COX6C/PRKAG2/PPARA/PRKAG1/CASP3/NDUFAB1/UQCRHL/NDUFC1/UQCR11/PRKAA1/RXRA/NDUFB11/SDHC/COX5B/NDUFS8/NDUFB9/NDUFA10/BAX/JUN/UQCRFS1/CDC42/NDUFB2/NDUFA3/NDUFS2/UQCR10/UQCRH/NDUFA2/CASP7/NDUFA1/NDUFB4/NDUFS4/NDUFB5/COX6B1
hsa03050	Proteasome	43	0.624238372818697	2.04701197512723	2.03753986669625e-05	0.000175019450088011	0.000116587976178031	3963	tags=79%, list=24%, signal=60%	PSMA5/PSME1/PSMA3/PSMD4/PSMD6/PSME2/POMP/PSMB1/PSMB3/PSMD14/PSMA6/PSMD8/PSMA1/PSMC4/PSMC2/PSMD13/PSME3/PSMB6/PSMC6/PSMD7/PSMD9/PSMD12/PSMA7/PSMB4/PSMC1/PSMB5/PSMB7/PSMA4/PSMD2/PSMB2/PSMB10/PSMA2/PSMD11/PSMC3
hsa05170	Human immunodeficiency virus 1 infection	184	0.407595459077564	1.71862898407974	2.48265590232603e-05	0.000207922431819805	0.000138506066129768	2985	tags=27%, list=18%, signal=22%	CD3E/CD3D/TLR2/FOS/CXCR4/TAP2/CCR5/CD4/APOBEC3B/CD247/RAC2/GNG2/NFKBIA/GNGT2/PLCG2/PTK2B/FASLG/TNFRSF1B/APOBEC3A/MAPK14/CD3G/MAP2K6/TLR4/PIK3CD/CALM2/CASP8/BCL2/CCNB1/FAS/HLA-F/GNG5/MYD88/APOBEC3G/MAP2K1/CUL4B/BID/BST2/GNB4/HLA-E/CDK1/APOBEC3H/IRAK1/LIMK2/HLA-B/B2M/MAPK13/ELOC/CASP3/BAK1/RBX1
hsa05200	Pathways in cancer	452	0.322872989986565	1.49630320579495	3.05893311851343e-05	0.000249937218219999	0.000166493920699575	2097	tags=19%, list=13%, signal=17%	IL6/MMP9/CDH1/LEF1/IL2RB/RASSF5/HEY1/TGFA/LPAR5/CSF2RB/FOS/CXCR4/PTGS2/KIT/IL2RG/EDNRB/CEBPA/MMP2/CSF2RA/NQO1/RAC2/WNT5A/GNG2/NFKBIA/GNGT2/HES1/RASGRP4/PLCG2/CDKN2A/SPI1/SLC2A1/FASLG/WNT3/CSF1R/IL12RB2/LPAR1/TGFBR2/CSF3R/GSTO1/STAT4/IL2RA/FGF10/XIAP/PLD2/TGFB2/IL15RA/MET/PLCB2/FGF9/CXCL8/NKX3-1/DLL4/PIK3CD/FLT3/CALM2/CASP8/IL3RA/IL12RB1/IFNGR1/AXIN2/RALB/GLI2/BCL2/FAS/GADD45B/DCC/STAT1/CKS2/FZD8/PTGER4/MMP1/FH/GNG5/MAP2K1/FGF7/NCOA4/PDGFB/NOS2/STAT5A/BID/PIM2/GNB4/GLI1/ITGA2B/PIM1/GSTP1
hsa03010	Ribosome	129	0.44154603686043	1.76454427355256	3.47511536137947e-05	0.000277181820490982	0.000184642720955501	5974	tags=49%, list=37%, signal=31%	MRPL3/MRPS18C/MRPL21/MRPL9/RPS26/MRPL32/MRPL35/RPL26L1/MRPL24/MRPL22/MRPL20/MRPL33/MRPL18/MRPL13/MRPS9/MRPS7/MRPL15/MRPS12/MRPS15/MRPS16/MRPL27/MRPS18A/RPL15/MRPL11/MRPL1/MRPL14/MRPS17/RPS5/MRPL19/MRPL2/RPS27L/MRPL12/RPL17-C18orf32/RPL22L1/FAU/RPL10A/MRPL16/MRPS6/MRPL28/MRPS14/MRPL17/MRPS21/RPL19/RPL27/RPS7/UBA52/RSL24D1/RPL23A/RPS15A/MRPL10/MRPL34/RPL18/RPL8/RPS14/RPSA/MRPS10/RPL7A/RPL6/MRPL30/RPL26/MRPL4/RPL7/RPL17
hsa04210	Apoptosis	126	0.442377752681465	1.76127785632308	3.68472564394459e-05	0.000287065835051497	0.000191226887764076	3352	tags=33%, list=21%, signal=26%	GZMB/CSF2RB/FOS/CTSC/BCL2A1/TUBA3D/NFKBIA/CTSS/FASLG/CTSH/TUBA4A/XIAP/CTSK/CTSL/CTSW/MCL1/PIK3CD/CASP8/IL3RA/PRF1/BCL2/FAS/GADD45B/MAP2K1/CTSZ/CTSO/BID/TUBA1C/CTSD/EIF2S1/NGF/DFFB/BIRC3/CASP3/BAK1/PARP3/CFLAR/TRAF1/BAX/JUN/TUBA1A
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	66	0.525841748689799	1.89198590099604	6.0837942645699e-05	0.000463197972416117	0.000308556072748521	3305	tags=39%, list=20%, signal=31%	CXCL2/CXCL3/CXCL1/CXCR1/HBEGF/CXCR2/NFKBIA/PLCG2/CCL5/MAPK14/LYN/MET/CXCL8/ATP6V1F/F11R/ATP6V1C1/TCIRG1/CSK/ATP6V1D/MAPK13/ATP6V0E1/CASP3/ATP6V0C/ATP6V1H/ATP6V1G1/JUN
hsa04217	Necroptosis	112	0.456120714408364	1.77980553707561	6.63119287190651e-05	0.00049365546935304	0.000328845120197469	2536	tags=29%, list=16%, signal=25%	IL1B/TNFAIP3/CYBB/NLRP3/CASP1/ALOX15/FASLG/IL1A/STAT4/RIPK3/TLR4/XIAP/GLUL/PYCARD/MLKL/RNF103-CHMP3/ZBP1/PLA2G4A/CASP8/IFNGR1/GLUD2/PYGL/BCL2/FAS/STAT1/VDAC2/SLC25A5/STAT5A/BID/JAK1/CHMP1B/BIRC3/HSP90AB1
