ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0120254	olefinic compound metabolic process	8/222	158/18614	0.000628252346951566	0.0644183031463552	0.0593769323397082	CYP2D7/PTGIS/CYP2E1/CYP2C8/LRAT/CYP2D6/CYP2A6/HSD17B3	8
BP	GO:0003179	heart valve morphogenesis	5/222	60/18614	0.000739128512210252	0.0707345986185211	0.0651989150770727	BMP4/SOX4/SCX/SLIT3/TIE1	5
BP	GO:0060350	endochondral bone morphogenesis	5/222	60/18614	0.000739128512210252	0.0707345986185211	0.0651989150770727	FGFR3/COL2A1/BMP4/SCX/COL3A1	5
BP	GO:0018149	peptide cross-linking	4/222	35/18614	0.000771462769634576	0.0712090987756327	0.0656362808931202	SPOCK3/TGM3/ANXA1/COL3A1	4
BP	GO:0002399	MHC class II protein complex assembly	3/222	16/18614	0.000835653731045466	0.0712090987756327	0.0656362808931202	HLA-DQB1/HLA-DRA/HLA-DQA1	3
BP	GO:0002503	peptide antigen assembly with MHC class II protein complex	3/222	16/18614	0.000835653731045466	0.0712090987756327	0.0656362808931202	HLA-DQB1/HLA-DRA/HLA-DQA1	3
BP	GO:0009410	response to xenobiotic stimulus	14/222	440/18614	0.000852577183758553	0.0712090987756327	0.0656362808931202	CYP2D7/SLC12A5/ACSM1/CYP2E1/ABCC6/MAOB/NR1I2/KCNK3/GABRG3/CYP2C8/CERS1/CYP2D6/CYP2A6/HNF4A	14
BP	GO:0006959	humoral immune response	10/222	250/18614	0.000868101169330249	0.0712090987756327	0.0656362808931202	LGALS4/HLA-DQB1/AIRE/MASP1/SFTPD/C4B/TF/WFDC10B/C7/WFDC3	10
BP	GO:0006631	fatty acid metabolic process	13/222	394/18614	0.000935221873035808	0.0745839443746057	0.0687470113687725	LPIN1/CYP2D7/ACSM1/PTGIS/CYP2E1/PNPLA3/CYP2C8/FA2H/CYP2D6/FABP3/ANXA1/GGT1/CYP2A6	13
BP	GO:0019731	antibacterial humoral response	5/222	64/18614	0.000992883225959171	0.075462815047235	0.0695571016989308	LGALS4/SFTPD/TF/WFDC10B/WFDC3	5
BP	GO:0001505	regulation of neurotransmitter levels	9/222	211/18614	0.000999101743984014	0.075462815047235	0.0695571016989308	OTOF/SYT7/FER1L5/RIMS2/MAOB/SV2C/DBH/NRXN2/MOXD1	9
BP	GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	13/222	398/18614	0.00102509571119546	0.075462815047235	0.0695571016989308	ATOH8/RBPMS2/GDF1/PEG10/NPNT/IL17RD/TF/HTRA3/BMP4/SCX/COL3A1/HNF4A/VWC2	13
BP	GO:1902476	chloride transmembrane transport	6/222	98/18614	0.00113710142556213	0.0816154548197219	0.0752282364174525	SLC12A5/CLCNKB/CLCNKA/ANO2/GABRG3/CLIC5	6
BP	GO:0019373	epoxygenase P450 pathway	3/222	18/18614	0.00119642957522397	0.0817845073920956	0.075384058950202	CYP2E1/CYP2C8/CYP2A6	3
BP	GO:0042402	cellular biogenic amine catabolic process	3/222	18/18614	0.00119642957522397	0.0817845073920956	0.075384058950202	MAOB/DBH/MOXD1	3
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	11/222	311/18614	0.00132140134959729	0.088226587783577	0.0813219826900264	HLA-DQB1/AIRE/HLA-DRA/C4B/AGER/IL23R/C7/ANXA1/IL21R/HLA-DQA1/RSAD2	11
BP	GO:0015698	inorganic anion transport	8/222	179/18614	0.00140873281881306	0.0897741373141068	0.0827484211287703	SLC12A5/CLCNKB/CLCNKA/ABCC6/ANO2/GABRG3/NMUR1/CLIC5	8
BP	GO:0030198	extracellular matrix organization	11/222	314/18614	0.00142631717410785	0.0897741373141068	0.0827484211287703	VWA1/MELTF/COL2A1/SMOC1/NPNT/WNT3A/COL28A1/SCX/COL3A1/MYH11/TIE1	11
BP	GO:0043062	extracellular structure organization	11/222	315/18614	0.0014627721438289	0.0897741373141068	0.0827484211287703	VWA1/MELTF/COL2A1/SMOC1/NPNT/WNT3A/COL28A1/SCX/COL3A1/MYH11/TIE1	11
BP	GO:0050808	synapse organization	14/222	466/18614	0.00146965672370708	0.0897741373141068	0.0827484211287703	ARHGAP33/LRRC24/PCDHGC3/SEMA3F/KIF1A/NTRK2/NEURL1/PCDHGC5/WNT3A/SNCB/CNTN2/ADGRB1/NRXN2/SLC8A2	14
BP	GO:0002396	MHC protein complex assembly	3/222	20/18614	0.00164236349461116	0.0933885771922021	0.0860799952560802	HLA-DQB1/HLA-DRA/HLA-DQA1	3
BP	GO:0002501	peptide antigen assembly with MHC protein complex	3/222	20/18614	0.00164236349461116	0.0933885771922021	0.0860799952560802	HLA-DQB1/HLA-DRA/HLA-DQA1	3
BP	GO:0009310	amine catabolic process	3/222	20/18614	0.00164236349461116	0.0933885771922021	0.0860799952560802	MAOB/DBH/MOXD1	3
BP	GO:0030534	adult behavior	7/222	143/18614	0.00165894024270369	0.0933885771922021	0.0860799952560802	HOXD9/SPTBN4/CHL1/CNTN2/DBH/NRXN2/CEND1	7
BP	GO:0003170	heart valve development	5/222	73/18614	0.00179395535463184	0.0985740623782825	0.0908596648220874	BMP4/SOX4/SCX/SLIT3/TIE1	5
BP	GO:0007611	learning or memory	10/222	276/18614	0.00181972319959909	0.0985740623782825	0.0908596648220874	SLC12A5/B3GAT1/AGER/HMGCR/NTRK2/CSMD1/CNTN2/DBH/NRXN2/SLC8A2	10
CC	GO:0005581	collagen trimer	8/239	85/19518	9.6099528338741e-06	0.00275805646332187	0.00221534702170361	COL2A1/COL6A2/SFTPD/EMID1/GLDN/COL28A1/COL3A1/SCARA3	8
CC	GO:0016460	myosin II complex	4/239	24/19518	0.000192134969445488	0.016653900496732	0.0133768722126694	MYL9/MYO18B/MYH11/MYH15	4
CC	GO:0043292	contractile fiber	11/239	243/19518	0.000212674944266039	0.016653900496732	0.0133768722126694	MYOM3/FBXO32/MYL9/NPNT/TNNC2/JUP/MYO18B/LMOD1/NEXN/MYH11/MYH15	11
CC	GO:0015629	actin cytoskeleton	16/239	489/19518	0.000366585873598541	0.016653900496732	0.0133768722126694	ARHGAP33/MYO15A/LIMCH1/MYL9/EFR3B/FSCN2/TNNC2/SPTBN4/JUP/MYO18B/LMOD1/CLIC5/ANXA1/NEXN/MYH11/MYH15	16
CC	GO:0005583	fibrillar collagen trimer	3/239	12/19518	0.000367600104720635	0.016653900496732	0.0133768722126694	COL2A1/COL28A1/COL3A1	3
CC	GO:0098643	banded collagen fibril	3/239	12/19518	0.000367600104720635	0.016653900496732	0.0133768722126694	COL2A1/COL28A1/COL3A1	3
CC	GO:0005788	endoplasmic reticulum lumen	12/239	312/19518	0.000490305996751517	0.016653900496732	0.0133768722126694	VWA1/MELTF/COL2A1/COL6A2/PCSK9/TF/WNT3A/COL28A1/BMP4/ALB/COL3A1/MXRA8	12
CC	GO:0016459	myosin complex	5/239	54/19518	0.000512109207092196	0.016653900496732	0.0133768722126694	MYO15A/MYL9/MYO18B/MYH11/MYH15	5
CC	GO:0034707	chloride channel complex	5/239	55/19518	0.000557762529297405	0.016653900496732	0.0133768722126694	CLCNKB/CLCNKA/ANO2/GABRG3/CLIC5	5
CC	GO:0005604	basement membrane	6/239	84/19518	0.000580275278631778	0.016653900496732	0.0133768722126694	VWA1/COL2A1/SMOC1/NPNT/COL28A1/VWC2	6
CC	GO:0042613	MHC class II protein complex	3/239	17/19518	0.00108593252132247	0.0283329666926863	0.0227578203033131	HLA-DQB1/HLA-DRA/HLA-DQA1	3
CC	GO:0032590	dendrite membrane	4/239	41/19518	0.00155596421000261	0.0355663025569042	0.0285678351731598	MPP2/SLC12A5/AKAP5/GABRG3	4
CC	GO:0044309	neuron spine	8/239	178/19518	0.00161101718898869	0.0355663025569042	0.0285678351731598	ARHGAP33/SLC9A5/MPP2/AKAP5/NTRK2/NEURL1/ADGRB1/SLC8A2	8
CC	GO:0062023	collagen-containing extracellular matrix	13/239	415/19518	0.00189799397557553	0.0389088764992984	0.0312526827557174	LGALS4/VWA1/COL2A1/COL6A2/SMOC1/ANGPT2/SSC5D/NPNT/VWF/COL28A1/ANXA1/COL3A1/VWC2	13
CC	GO:0098644	complex of collagen trimers	3/239	21/19518	0.00204861485960974	0.0390140383268558	0.0313371516360954	COL2A1/COL28A1/COL3A1	3
CC	GO:0019897	extrinsic component of plasma membrane	7/239	147/19518	0.00225802878420469	0.0390140383268558	0.0313371516360954	PCSK9/STAC2/JUP/TF/TDGF1/TGM3/ANXA1	7
CC	GO:0030016	myofibril	9/239	233/19518	0.0023774961549299	0.0390140383268558	0.0313371516360954	MYOM3/FBXO32/MYL9/TNNC2/JUP/MYO18B/LMOD1/NEXN/MYH15	9
CC	GO:0030658	transport vesicle membrane	9/239	234/19518	0.0024468734839143	0.0390140383268558	0.0313371516360954	HLA-DQB1/NCALD/OTOF/SYT7/FER1L5/HLA-DRA/SV2C/DBH/HLA-DQA1	9
CC	GO:0032982	myosin filament	3/239	24/19518	0.00303444979218629	0.0458361626503928	0.036816870054781	MYO18B/MYH11/MYH15	3
CC	GO:0042611	MHC protein complex	3/239	25/19518	0.00341734592006019	0.0490389139528638	0.0393894082364833	HLA-DQB1/HLA-DRA/HLA-DQA1	3
CC	GO:0034702	ion channel complex	10/239	299/19518	0.00392394857468828	0.0536272971874064	0.043074924203345	HCN3/CLCNKB/CLCNKA/ANO2/GABRG3/KCNK1/CLIC5/CACNA1F/VWC2/CACNG4	10
CC	GO:0030017	sarcomere	8/239	213/19518	0.00484084453820179	0.0631510173847234	0.0507246389409661	MYOM3/FBXO32/MYL9/TNNC2/JUP/MYO18B/LMOD1/NEXN	8
CC	GO:0098553	lumenal side of endoplasmic reticulum membrane	3/239	29/19518	0.0052374525658495	0.064960640977629	0.0521781785222841	HLA-DQB1/HLA-DRA/HLA-DQA1	3
CC	GO:0045334	clathrin-coated endocytic vesicle	5/239	92/19518	0.00547456886042106	0.064960640977629	0.0521781785222841	HLA-DQB1/SFTPD/HLA-DRA/TF/HLA-DQA1	5
CC	GO:0009925	basal plasma membrane	9/239	266/19518	0.00565968524031823	0.064960640977629	0.0521781785222841	OTOF/SLCO4C1/SLC40A1/MUC20/ABCC6/TF/FRMPD2/ANXA1/SLC8A2	9
CC	GO:0043197	dendritic spine	7/239	175/19518	0.00588493611644026	0.064960640977629	0.0521781785222841	ARHGAP33/MPP2/AKAP5/NTRK2/NEURL1/ADGRB1/SLC8A2	7
CC	GO:0032589	neuron projection membrane	4/239	60/19518	0.00625389473709055	0.06522914763537	0.0523938504755035	MPP2/SLC12A5/AKAP5/GABRG3	4
CC	GO:0030133	transport vesicle	12/239	425/19518	0.00636381928149951	0.06522914763537	0.0523938504755035	HLA-DQB1/NCALD/FGFR3/OTOF/SYT7/FER1L5/SLC40A1/HLA-DRA/SV2C/DBH/GALNT15/HLA-DQA1	12
CC	GO:0005614	interstitial matrix	2/239	11/19518	0.00763558132232016	0.075565925500203	0.0606966355567374	VWA1/VWC2	2
CC	GO:0016323	basolateral plasma membrane	8/239	234/19518	0.00837202110284103	0.0778384392700277	0.0625219812951992	OTOF/SLCO4C1/SLC40A1/MUC20/ABCC6/FRMPD2/ANXA1/SLC8A2	8
CC	GO:0005881	cytoplasmic microtubule	5/239	102/19518	0.00840763629745944	0.0778384392700277	0.0625219812951992	FAM166B/REEP1/REEP2/CYP2A6/EFHB	5
CC	GO:0045178	basal part of cell	9/239	285/19518	0.00872229235964393	0.0782280596005565	0.062834935090856	OTOF/SLCO4C1/SLC40A1/MUC20/ABCC6/TF/FRMPD2/ANXA1/SLC8A2	9
CC	GO:0045177	apical part of cell	12/239	446/19518	0.00915538898798321	0.07962414059246	0.0639563058490693	PDZK1/AGER/MUC20/PARD3B/TF/CHL1/FRMPD2/KCNK1/TDGF1/CLIC5/ANXA1/ZMYND10	12
CC	GO:0098576	lumenal side of membrane	3/239	36/19518	0.00961226210099637	0.0811388006760576	0.0651729226042788	HLA-DQB1/HLA-DRA/HLA-DQA1	3
CC	GO:0030666	endocytic vesicle membrane	7/239	196/19518	0.0106475119275153	0.0873095978056258	0.0701294770564168	HLA-DQB1/SYT7/HLA-DRA/TF/WNT3A/HLA-DQA1/CACNG4	7
CC	GO:0030669	clathrin-coated endocytic vesicle membrane	4/239	73/19518	0.0123462308601889	0.0975106697469545	0.0783232593969669	HLA-DQB1/HLA-DRA/TF/HLA-DQA1	4
CC	GO:0043204	perikaryon	6/239	156/19518	0.0125710619534401	0.0975106697469545	0.0783232593969669	SLC12A5/KNDC1/NEURL1/KCNK1/CACNA1F/SLC8A2	6
MF	GO:0098631	cell adhesion mediator activity	7/231	62/18369	1.24071897954242e-05	0.00389920292299428	0.00328950214734575	AGER/ROBO3/GLDN/JUP/CNTN2/ANXA1/NEXN	7
MF	GO:0005506	iron ion binding	10/231	152/18369	2.29989295764263e-05	0.00389920292299428	0.00328950214734575	CYP2D7/MELTF/P3H3/PTGIS/CYP2E1/TF/CYP2C8/FA2H/CYP2D6/CYP2A6	10
MF	GO:0098632	cell-cell adhesion mediator activity	6/231	51/18369	4.15980567265541e-05	0.00389920292299428	0.00328950214734575	ROBO3/GLDN/JUP/CNTN2/ANXA1/NEXN	6
MF	GO:0030246	carbohydrate binding	13/231	273/18369	4.4297307357588e-05	0.00389920292299428	0.00328950214734575	LGALS4/P3H3/GALNT17/SFTPD/HLA-DRA/C4B/CLEC18B/ATRNL1/CNTN2/DBH/GALNT15/LGALS12/GALNT9	13
MF	GO:0004497	monooxygenase activity	8/231	103/18369	4.72058465253545e-05	0.00389920292299428	0.00328950214734575	CYP2D7/PTGIS/CYP2E1/CYP2C8/CYP2D6/DBH/CYP2A6/MOXD1	8
MF	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	5/231	39/18369	0.000122353587449532	0.0084220052694428	0.00710509428873599	CYP2D7/CYP2E1/CYP2C8/CYP2D6/CYP2A6	5
MF	GO:0032395	MHC class II receptor activity	3/231	10/18369	0.000220690418682305	0.013020734702256	0.0109847411404275	HLA-DQB1/HLA-DRA/HLA-DQA1	3
MF	GO:0005201	extracellular matrix structural constituent	9/231	167/18369	0.000269786110975772	0.0139277079791243	0.0117498950964448	VWA1/COL2A1/COL6A2/NPNT/VWF/COL28A1/MUC4/MUC6/COL3A1	9
MF	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	9/231	177/18369	0.000413909099959561	0.0189938286981443	0.0160238493668555	CYP2D7/P3H3/PTGIS/CYP2E1/CYP2C8/CYP2D6/DBH/CYP2A6/MOXD1	9
MF	GO:0033293	monocarboxylic acid binding	6/231	80/18369	0.000512779405736098	0.0211777894569009	0.0178663140314367	LCN12/LRAT/FABP3/ALB/HNF4A/OXER1	6
MF	GO:0005244	voltage-gated monoatomic ion channel activity	9/231	189/18369	0.000665089207798474	0.0228901535683975	0.0193109234895873	HCN3/CLCNKB/CLCNKA/KCNK3/KCNK1/CLIC5/KCNT1/CACNA1F/CACNG4	9
MF	GO:0022832	voltage-gated channel activity	9/231	189/18369	0.000665089207798474	0.0228901535683975	0.0193109234895873	HCN3/CLCNKB/CLCNKA/KCNK3/KCNK1/CLIC5/KCNT1/CACNA1F/CACNG4	9
MF	GO:0008392	arachidonic acid epoxygenase activity	3/231	16/18369	0.000973985003334883	0.0293116781706552	0.0247283432508905	CYP2E1/CYP2C8/CYP2A6	3
MF	GO:0031406	carboxylic acid binding	9/231	200/18369	0.000993616209174752	0.0293116781706552	0.0247283432508905	LCN12/P3H3/FTCD/LRAT/FABP3/DBH/ALB/HNF4A/OXER1	9
MF	GO:0008391	arachidonic acid monooxygenase activity	3/231	18/18369	0.00139313951864283	0.0365974782221415	0.030874895607312	CYP2E1/CYP2C8/CYP2A6	3
MF	GO:0043177	organic acid binding	9/231	212/18369	0.00149091991487148	0.0365974782221415	0.030874895607312	LCN12/P3H3/FTCD/LRAT/FABP3/DBH/ALB/HNF4A/OXER1	9
MF	GO:0004653	polypeptide N-acetylgalactosaminyltransferase activity	3/231	19/18369	0.00163908707381082	0.0365974782221415	0.030874895607312	GALNT17/GALNT15/GALNT9	3
MF	GO:0030020	extracellular matrix structural constituent conferring tensile strength	4/231	41/18369	0.00171320529982216	0.0365974782221415	0.030874895607312	COL2A1/COL6A2/COL28A1/COL3A1	4
MF	GO:0020037	heme binding	7/231	137/18369	0.00175336242910588	0.0365974782221415	0.030874895607312	CYP2D7/PTGIS/CYP2E1/CYP2C8/FA2H/CYP2D6/CYP2A6	7
MF	GO:0022836	gated channel activity	11/231	308/18369	0.00186088872315974	0.0365974782221415	0.030874895607312	HCN3/CLCNKB/CLCNKA/KCNK3/GABRG3/KCNK1/TMEM63C/CLIC5/KCNT1/CACNA1F/CACNG4	11
MF	GO:0022839	monoatomic ion gated channel activity	11/231	308/18369	0.00186088872315974	0.0365974782221415	0.030874895607312	HCN3/CLCNKB/CLCNKA/KCNK3/GABRG3/KCNK1/TMEM63C/CLIC5/KCNT1/CACNA1F/CACNG4	11
MF	GO:0015103	inorganic anion transmembrane transporter activity	7/231	141/18369	0.00206554328407406	0.0370899728835907	0.0312903810997032	SLC12A5/CLCNKB/CLCNKA/ABCC6/ANO2/GABRG3/CLIC5	7
MF	GO:0140375	immune receptor activity	7/231	141/18369	0.00206554328407406	0.0370899728835907	0.0312903810997032	HLA-DQB1/HLA-DRA/IL23R/IL17RD/IL22RA1/IL21R/HLA-DQA1	7
MF	GO:0015108	chloride transmembrane transporter activity	6/231	107/18369	0.00233035107627674	0.0396193904419789	0.033424285042169	SLC12A5/CLCNKB/CLCNKA/ANO2/GABRG3/CLIC5	6
MF	GO:0005254	chloride channel activity	5/231	74/18369	0.00239826818656047	0.0396193904419789	0.033424285042169	CLCNKB/CLCNKA/ANO2/GABRG3/CLIC5	5
MF	GO:0046906	tetrapyrrole binding	7/231	147/18369	0.00261248650795505	0.0414983433763629	0.0350094345802883	CYP2D7/PTGIS/CYP2E1/CYP2C8/FA2H/CYP2D6/CYP2A6	7
MF	GO:0005504	fatty acid binding	4/231	49/18369	0.00331461134660304	0.0507012772647058	0.0427733472017781	FABP3/ALB/HNF4A/OXER1	4
MF	GO:0070330	aromatase activity	3/231	25/18369	0.00368044970981958	0.0542866332198388	0.045798077216176	CYP2D7/CYP2E1/CYP2C8	3
MF	GO:0051015	actin filament binding	8/231	202/18369	0.00412012918268144	0.0586763224981874	0.0495013705795846	MYO15A/FSCN2/TNNC2/SPTBN4/MYO18B/NEXN/MYH11/MYH15	8
MF	GO:0023026	MHC class II protein complex binding	3/231	27/18369	0.00459498205512132	0.0618828115573037	0.0522064754058048	HLA-DQB1/HLA-DRA/HLA-DQA1	3
MF	GO:0008509	monoatomic anion transmembrane transporter activity	6/231	123/18369	0.00464495679970076	0.0618828115573037	0.0522064754058048	SLC12A5/CLCNKB/CLCNKA/ANO2/GABRG3/CLIC5	6
MF	GO:0005253	monoatomic anion channel activity	5/231	87/18369	0.00482456993606407	0.0622671057373269	0.052530679238066	CLCNKB/CLCNKA/ANO2/GABRG3/CLIC5	5
MF	GO:0043495	protein-membrane adaptor activity	3/231	31/18369	0.00680593296000357	0.0829761391532657	0.0700015344965743	PDZK1/SPTBN4/JUP	3
MF	GO:0004714	transmembrane receptor protein tyrosine kinase activity	4/231	60/18369	0.00685354110586099	0.0829761391532657	0.0700015344965743	FGFR3/PDGFRL/NTRK2/TIE1	4
MF	GO:0015267	channel activity	13/231	478/18369	0.0076861325803894	0.0829761391532657	0.0700015344965743	SLC12A5/HCN3/CLCNKB/CLCNKA/ANO2/KCNK3/GABRG3/KCNK1/TMEM63C/CLIC5/KCNT1/CACNA1F/CACNG4	13
MF	GO:0005507	copper ion binding	4/231	62/18369	0.00768948863216839	0.0829761391532657	0.0700015344965743	SNCB/DBH/ALB/MOXD1	4
MF	GO:0048306	calcium-dependent protein binding	4/231	62/18369	0.00768948863216839	0.0829761391532657	0.0700015344965743	MASP1/CABP1/TNNC2/ANXA1	4
MF	GO:0022803	passive transmembrane transporter activity	13/231	479/18369	0.00781478421384188	0.0829761391532657	0.0700015344965743	SLC12A5/HCN3/CLCNKB/CLCNKA/ANO2/KCNK3/GABRG3/KCNK1/TMEM63C/CLIC5/KCNT1/CACNA1F/CACNG4	13
MF	GO:0005247	voltage-gated chloride channel activity	2/231	11/18369	0.00803642994220491	0.0829761391532657	0.0700015344965743	CLCNKB/CLCNKA	2
MF	GO:0048407	platelet-derived growth factor binding	2/231	11/18369	0.00803642994220491	0.0829761391532657	0.0700015344965743	COL2A1/COL3A1	2
MF	GO:0022843	voltage-gated monoatomic cation channel activity	6/231	140/18369	0.00861009648270549	0.0846560112081348	0.071418732534453	HCN3/KCNK3/KCNK1/KCNT1/CACNA1F/CACNG4	6
MF	GO:0005216	monoatomic ion channel activity	12/231	432/18369	0.00876472849196334	0.0846560112081348	0.071418732534453	HCN3/CLCNKB/CLCNKA/ANO2/KCNK3/GABRG3/KCNK1/TMEM63C/CLIC5/KCNT1/CACNA1F/CACNG4	12
MF	GO:0008376	acetylgalactosaminyltransferase activity	3/231	34/18369	0.00881406412094382	0.0846560112081348	0.071418732534453	GALNT17/GALNT15/GALNT9	3
MF	GO:0003779	actin binding	12/231	434/18369	0.00907165195688068	0.0851498240498118	0.0718353300891747	NCALD/MYO15A/LIMCH1/FSCN2/TNNC2/SPTBN4/MYO18B/LMOD1/NEXN/DAAM2/MYH11/MYH15	12
MF	GO:0004859	phospholipase inhibitor activity	2/231	12/18369	0.00956428935187189	0.0858706848331106	0.072443473122874	SNCB/ANXA1	2
MF	GO:0086080	protein binding involved in heterotypic cell-cell adhesion	2/231	12/18369	0.00956428935187189	0.0858706848331106	0.072443473122874	GLDN/JUP	2
MF	GO:0000146	microfilament motor activity	3/231	36/18369	0.0103255541881452	0.0888427891604991	0.0749508429007906	MYO15A/MYH11/MYH15	3
