geneNames	GSE138518_GSM4110156	GSE138518_GSM4110157	GSE138518_GSM4110158	GSE138518_GSM4110159	GSE138518_GSM4110160	GSE138518_GSM4110161	GSE155489_GSM4705199	GSE155489_GSM4705200	GSE155489_GSM4705201	GSE155489_GSM4705202	GSE155489_GSM4705203	GSE155489_GSM4705204	GSE155489_GSM4705205	GSE155489_GSM4705206	GSE193123_GSM5773736	GSE193123_GSM5773737	GSE193123_GSM5773738	GSE193123_GSM5773739	GSE193123_GSM5773740	GSE193123_GSM5773741
SKAP2	162	387	169	276	369	128	214	156	106	166	147	118	111	120	563	693	540	363	243	1396
SLC25A5	1874	6690	8177	9636	6608	3608	3176	1362	1412	1850	3916	3513	2482	2295	3764	4620	4571	4866	5153	3290
MCUB	652	657	1442	1185	1071	695	1105	704	284	454	528	399	714	621	611	650	491	850	651	980
POLR2J	1579	1529	2064	2635	2144	914	890	431	347	414	723	636	721	699	519	634	475	919	603	739
DHX33	1016	931	890	889	639	454	119	104	60	104	145	122	62	76	475	419	540	461	822	395
THSD7A	178	274	412	378	217	515	158	121	92	106	182	141	55	55	45	119	102	8	21	2
LIG3	500	1077	1016	948	909	487	136	103	96	110	123	106	70	68	554	449	511	383	604	551
RPAP3	140	410	377	473	499	319	461	381	250	440	256	262	350	278	619	541	536	607	667	628
ACSM3	2382	1934	3199	911	2931	3008	2787	2356	1329	1907	659	556	1151	1215	388	890	617	529	596	113
REXO5	696	324	557	117	486	193	150	102	77	145	84	50	68	71	54	82	68	59	51	38
CIAPIN1	418	894	1198	934	1212	579	390	250	245	294	383	362	334	271	733	931	1098	1153	1299	759
SPPL2B	511	2954	2130	2249	1423	1016	95	122	89	122	143	70	41	51	942	1026	882	994	855	1034
FAM214B	679	1232	1326	1206	814	461	66	56	72	75	66	48	36	36	832	785	774	847	845	1301
COPZ2	49	65	125	42	102	41	14	17	13	13	24	6	6	8	83	143	63	65	83	40
PRKAR2B	3518	11359	8651	13642	9876	7003	5691	4312	2108	2883	7589	6823	3576	3121	1187	1735	1992	902	1908	109
MSL3	252	387	817	618	444	371	321	237	183	273	234	251	222	197	1061	798	855	1115	1037	2006
CREBBP	668	2326	3637	3730	1406	1445	255	272	214	308	276	321	148	172	1629	1448	1744	1300	1699	3105
TSPOAP1	164	300	296	62	160	73	32	23	13	18	9	9	7	17	200	124	280	182	111	405
MPO	0	10	0	0	7	0	8	6	2	4	1	5	1	0	21	23	12	11	0	45
PON1	0	4	0	6	4	0	8	1	4	2	6	5	1	3	0	1	0	0	0	2
GCFC2	137	164	240	185	176	151	202	134	180	195	191	239	166	139	168	291	240	176	205	193
WDR54	567	1484	956	649	631	376	346	230	165	239	273	240	470	412	311	478	470	835	537	253
CROT	49	351	360	306	265	227	261	198	123	147	358	339	140	126	279	443	355	224	214	154
ABCB4	0	0	2	0	0	0	8	8	29	18	26	14	7	12	11	12	5	6	2	10
KMT2E	2497	2754	2168	2832	1675	1149	1098	897	453	608	739	683	532	534	1732	1670	1982	1250	1894	2021
RHBDD2	1973	16815	10966	12440	6651	3271	1699	1171	877	1069	3699	3091	1515	1418	2817	2775	2481	3125	1611	1773
SOX8	17	65	26	0	0	11	1	0	0	0	0	4	0	3	25	9	12	15	10	72
IBTK	330	1085	731	929	623	695	560	566	316	402	679	551	410	409	335	138	211	43	71	96
ZNF195	131	165	359	141	242	142	176	130	143	165	131	121	134	103	247	298	345	308	568	369
MYCBP2	863	1003	876	861	705	599	199	172	200	239	371	328	164	184	1012	871	1201	590	1017	1622
FBXL3	196	5487	539	604	775	665	760	500	342	541	736	650	530	434	793	721	731	828	679	1019
ITGAL	16	8	9	80	171	12	16	4	5	15	1	7	2	8	857	449	931	1030	529	3180
PDK2	298	397	1018	446	437	258	118	101	79	73	102	73	34	70	291	556	357	260	283	163
ITGA3	222	466	877	314	625	358	62	51	23	36	19	14	13	19	1605	1820	1438	1251	2348	536
ZFX	223	1032	296	897	371	610	430	286	203	276	471	376	209	161	866	681	901	733	833	1004
LAMP2	422	3332	2436	3574	2602	1790	2278	1573	1013	1448	1073	912	911	870	3774	4090	3425	2872	2728	4796
ITGA2B	8	6	13	36	86	4	16	9	8	2	0	3	9	1	9	22	3	15	1	37
ASB4	0	2	0	0	0	0	0	3	11	5	11	5	6	4	0	0	0	2	0	0
GDE1	1200	1313	1563	965	1006	583	674	449	250	402	504	464	346	356	1224	1266	1324	1017	1363	944
REX1BD	1376	1419	1802	1137	1241	436	138	55	66	82	150	118	90	99	618	1033	868	1129	1011	1381
CRLF1	59	154	176	98	30	23	53	51	27	36	32	25	33	34	5	4	12	8	13	7
TMEM98	597	1078	1108	1084	1200	715	527	399	254	332	464	510	374	335	422	678	436	503	513	93
YBX2	0	14	0	3	0	0	1	4	2	3	1	0	2	1	0	0	0	0	0	0
MAP3K14	178	721	93	338	356	140	23	17	34	25	15	12	18	15	274	261	203	247	226	1116
CACNG3	0	2	2	0	25	8	4	4	6	8	0	1	3	12	2	1	0	2	0	4
TMEM132A	479	1924	1617	1380	771	575	34	14	10	21	15	14	6	8	2290	2717	2559	4178	5697	1137
AP2B1	5308	4973	4100	5651	5675	4101	2193	2421	1240	1551	1646	1409	1258	1276	3488	4093	3932	2988	3880	2922
ZNF263	912	1123	1114	588	497	323	149	108	110	112	171	136	102	80	781	790	653	780	812	725
CX3CL1	24	0	10	0	14	12	17	9	0	1	1	2	1	2	22	59	12	23	5	1
SPATA20	2752	3551	4150	3986	2998	905	89	60	119	133	251	206	84	67	1448	2313	1278	900	1311	1058
CACNA1G	838	2241	1935	1071	893	709	58	49	32	50	100	99	71	66	66	93	63	73	94	47
TNFRSF12A	1547	5763	4668	9254	3901	1136	2005	1077	1216	1495	1525	1306	1262	1214	2247	1899	3366	4697	7673	867
DLX6	15	0	3	0	5	0	1	0	0	1	0	0	3	3	0	0	0	0	1	0
MAP3K9	37	555	447	153	344	130	36	54	26	52	43	28	19	18	292	341	405	219	328	127
RALA	626	1251	1668	1211	1485	973	1233	955	526	849	484	430	815	700	2042	1794	1479	2807	3984	1834
BAIAP2L1	291	723	519	739	275	166	67	46	64	81	85	56	72	45	285	208	262	232	156	118
KDM7A	199	999	441	455	367	428	199	171	87	109	90	97	225	229	860	590	766	576	658	1136
ETV1	0	16	50	0	6	12	24	25	21	14	24	17	16	13	37	52	59	30	42	13
AGK	89	457	329	541	311	232	139	104	91	115	207	195	116	111	183	172	198	120	207	140
ALDH3B1	388	774	658	514	409	63	16	24	19	25	16	25	12	15	432	524	497	323	418	1440
TTC22	0	0	0	27	4	1	9	5	2	1	4	4	0	3	28	14	48	56	22	128
PHTF2	76	261	216	274	210	230	317	320	207	280	248	235	137	131	604	714	578	424	543	573
CCL26	0	29	18	44	16	12	33	19	6	10	22	7	15	12	27	22	22	64	40	6
FARP2	853	1718	1529	1367	1106	1035	353	338	208	303	348	308	212	169	436	466	582	326	688	367
USH1C	0	4	0	0	0	0	16	11	7	5	2	1	5	5	0	0	0	0	0	0
GGCT	467	1019	1108	824	892	373	976	737	488	740	1134	1008	635	511	540	410	357	639	433	332
DBF4	35	144	136	64	67	68	166	115	92	92	66	62	116	74	284	201	167	293	167	396
TBXA2R	17	31	75	55	23	13	3	3	5	2	2	1	3	1	31	54	17	45	42	73
IFRD1	179	829	809	847	437	283	634	442	328	391	330	314	447	327	1131	570	598	850	1038	1079
COX10	101	328	429	296	334	212	170	73	78	158	147	137	122	136	219	259	276	206	254	196
GTF2IRD1	419	1240	872	681	620	260	55	20	32	24	27	18	37	30	256	189	163	181	143	101
PAF1	2911	3716	4623	3325	2955	1353	223	159	220	279	239	211	167	165	1500	1309	1372	1647	1327	1467
VPS41	937	2379	2695	2924	2538	1944	1008	738	443	584	1764	1618	790	782	1369	1707	1492	1070	1063	1328
ARHGAP44	54	158	192	207	111	83	38	15	16	15	13	16	13	16	108	135	49	106	67	21
ELAC2	1277	2339	3470	3185	2197	1184	190	176	174	198	302	268	134	118	1224	1634	1810	1343	2053	1245
SCIN	0	0	1	2	0	0	13	6	20	14	24	7	9	8	14	12	8	21	0	39
ARSD	1642	3063	3873	3763	2406	1359	436	340	232	280	475	367	181	196	802	1153	898	540	820	478
PNPLA4	270	535	454	792	478	307	281	206	132	156	262	267	306	247	261	431	381	319	356	130
ADIPOR2	2459	12140	7843	5028	4333	2293	1035	831	676	773	678	632	835	984	48	62	250	67	46	31
CDKL3	15	29	82	25	11	9	124	84	73	95	98	88	92	57	22	10	26	22	34	14
UPP2	0	0	2	0	0	0	0	0	11	1	6	6	0	3	0	2	0	0	0	4
PRSS21	0	0	6	10	0	0	5	5	3	6	1	1	2	2	11	8	2	17	0	43
MARK4	2279	5199	5193	4907	3158	1876	92	78	84	86	102	92	67	58	854	903	806	827	776	725
PROM1	0	18	35	0	5	7	21	10	17	9	15	9	8	7	8	2	6	10	20	6
CCDC124	5401	5037	9033	6370	4892	1966	550	475	200	347	461	428	343	310	1147	1297	1326	1752	1996	1235
CEACAM21	353	536	509	106	519	133	340	239	172	205	69	44	27	25	40	48	5	16	4	29
PAFAH1B1	1324	3253	3152	2975	2367	2100	809	502	471	540	599	439	631	610	2255	2445	2990	2326	3182	2609
NOS2	139	246	481	98	102	184	18	7	13	10	27	27	27	24	16	8	7	27	28	4
DNAH9	20	21	19	40	4	21	52	34	38	42	30	18	25	25	11	20	10	12	4	1
KIAA0100	2287	9550	6169	5456	4733	2809	220	185	147	213	253	215	115	156	3098	3499	4087	2182	3391	2829
GAS7	220	503	357	345	311	106	61	70	38	66	6	9	58	59	1073	703	598	433	198	2982
TRAPPC6A	463	635	1019	619	734	266	361	249	105	190	246	221	315	259	182	463	310	318	129	411
MATK	11	0	2	13	16	0	15	12	6	7	6	4	2	3	131	172	135	216	72	872
CD79B	0	3	0	0	28	5	11	5	1	7	1	0	1	2	63	113	33	145	50	344
SCN4A	33	82	51	65	113	55	20	14	8	8	7	4	7	11	41	19	2	8	12	27
ST7L	38	176	234	271	99	120	256	180	157	198	237	215	172	127	156	185	192	189	254	142
TKTL1	23	17	14	23	16	0	25	14	6	7	105	121	12	7	32	40	68	90	10	88
RPUSD1	591	844	988	583	614	386	27	23	18	23	20	18	13	18	360	424	435	586	638	640
RHBDF1	234	783	925	1628	768	462	55	39	29	40	64	54	15	9	196	397	212	408	498	105
LUC7L	1801	2878	2347	1428	1101	742	659	619	436	639	864	640	483	438	1658	1331	1178	1643	1308	1581
CACNA2D2	8	17	17	21	18	12	17	24	7	3	10	5	3	4	75	25	78	58	44	206
BAIAP3	97	523	166	61	49	60	74	30	33	35	35	29	28	26	90	107	125	108	72	155
TSR3	4647	4443	6427	3893	4863	1983	112	66	81	74	70	72	64	70	805	926	808	1041	920	1030
PIGQ	469	1003	1182	879	1466	504	53	56	46	48	40	28	20	11	468	578	506	544	644	585
CRAMP1	98	1832	942	712	601	728	85	68	28	53	55	44	27	33	355	299	329	322	300	420
TEAD3	530	820	530	810	773	733	58	58	38	55	28	29	20	15	255	247	185	273	320	111
DNAJC11	1231	2914	3632	2755	1797	1388	215	193	180	213	469	400	169	194	779	947	1188	698	1187	594
MYLIP	60	66	60	173	76	62	24	5	6	3	67	72	6	14	653	530	399	443	324	717
NOX1	0	3	0	0	0	0	7	1	3	4	3	5	4	7	1	2	9	10	6	6
E2F2	29	4	4	0	12	12	11	6	3	4	2	1	1	3	0	0	0	0	0	0
PSMB1	1541	2679	3668	5493	4303	1613	5970	2819	2163	2772	4939	4427	4136	3760	2328	2216	2443	3475	3126	2418
SYN1	3776	7426	8898	2945	4620	3285	138	142	115	120	81	61	70	83	172	127	102	197	106	42
JARID2	284	3558	1994	1570	1284	909	331	263	157	204	144	123	420	380	786	792	678	887	938	1106
CDKL5	47	77	242	164	158	91	95	85	57	63	94	53	67	42	103	151	138	80	92	111
CAMK1G	0	10	6	10	3	6	6	4	5	1	4	3	0	5	51	54	40	43	45	154
CDK11A	2384	2064	1801	1597	888	665	162	137	152	223	153	158	93	83	81	43	44	104	54	123
NADK	2257	3524	5336	4226	2619	1762	71	77	75	87	67	71	50	51	4581	2972	3259	3509	2439	6041
DLEC1	17	39	27	60	11	11	127	63	84	110	218	134	74	53	30	49	48	57	34	112
CYTH3	326	1112	802	756	633	466	170	134	75	70	82	60	32	22	368	557	487	382	486	610
ADAM22	0	14	20	18	14	0	12	16	49	26	31	23	22	18	40	42	48	30	27	93
SYPL1	80	342	461	517	334	392	981	678	583	653	819	727	889	801	1598	2335	1646	1113	1372	1224
CYB561	238	796	605	566	451	129	37	36	21	41	55	47	23	23	572	576	633	480	650	611
SPAG9	568	3470	2362	2267	1608	1614	1241	921	652	853	734	612	678	719	2330	2143	2172	1671	2018	2408
CELSR3	210	1280	804	348	423	560	113	66	43	33	32	15	35	16	203	206	143	136	130	154
AASS	929	1958	2010	2751	1636	1720	565	457	240	297	883	748	288	288	300	354	231	218	178	124
PLEKHG6	36	56	38	121	39	15	38	18	7	21	15	7	2	4	17	10	20	24	15	33
SS18L2	97	160	272	324	226	160	542	275	280	365	355	334	324	267	222	224	225	368	232	450
MPND	507	658	944	495	557	229	30	17	10	5	13	16	7	8	108	152	122	112	91	252
MGST1	506	1835	1556	2631	1951	731	13819	6440	2683	3775	8119	7489	4698	3957	5509	7034	9821	5677	5406	1077
CRY1	138	575	660	753	496	397	441	250	277	346	93	87	179	148	274	231	303	345	312	493
PGLYRP1	0	0	0	12	26	2	11	3	0	6	2	1	1	4	5	5	4	3	7	11
NFIX	65	520	1096	389	547	443	14	10	11	18	15	6	2	10	220	509	400	186	450	167
ST3GAL1	1544	3306	2940	3695	1691	1197	99	68	70	106	297	238	79	80	2543	1700	1889	2039	1239	6150
MMP25	40	64	38	252	808	150	11	6	19	22	6	6	4	1	130	68	69	158	80	474
IL32	646	564	1105	356	1025	399	774	386	233	254	160	126	531	428	1148	1939	1321	3668	2224	3002
PKD1	667	4260	2796	3113	1950	1336	69	27	23	54	52	33	28	21	1308	2080	1947	856	1798	1514
MAPK8IP2	207	127	285	174	211	178	20	7	2	13	6	7	6	3	21	35	25	16	10	19
MED24	1311	2943	2940	3542	2208	1284	118	92	104	143	177	133	91	89	1297	1696	1742	1591	1695	1313
RHOBTB2	387	856	445	476	543	265	48	40	37	34	56	46	17	33	169	226	230	123	233	190
HEATR5B	171	701	588	754	602	572	402	351	156	265	221	210	180	159	530	583	763	486	723	591
SEC62	2890	3501	4039	5302	4520	1496	1866	1220	1006	1444	1472	1352	1508	1197	3733	2913	3277	2874	3384	2280
RPS20	10951	8396	15598	16981	18494	5827	4347	4336	2597	3751	3055	2773	2835	2546	7996	9199	7445	12798	8267	9318
CSDE1	4043	8988	9736	10472	9162	5955	2844	2309	1971	2434	2912	2734	2208	1924	9368	9493	9605	8443	9619	8882
UBE3C	576	1935	1509	1513	1095	1218	260	227	171	221	283	282	191	169	1998	2052	2311	1823	2789	1873
REV3L	198	1043	881	895	841	936	483	377	314	414	413	404	246	260	564	534	613	301	511	478
TENM1	13	55	31	15	26	45	36	28	57	46	56	25	16	28	29	23	40	27	37	77
MASP2	0	48	11	43	27	13	30	22	21	11	6	9	14	24	31	54	54	40	51	96
IYD	0	50	16	8	10	14	17	12	19	4	10	6	19	22	2	4	11	3	13	0
FAM76A	83	128	156	200	148	79	197	93	92	99	89	77	78	62	140	114	149	117	97	227
TRAF3IP3	91	163	86	102	171	41	34	35	18	25	13	21	30	26	517	355	467	627	347	1739
POMT2	917	1895	1236	1127	867	565	113	113	67	81	90	68	39	54	1033	1055	1211	876	1184	455
VTA1	236	831	708	884	929	589	1366	998	509	750	950	906	979	802	729	819	940	809	1071	748
MLXIPL	128	1640	312	259	44	8	27	12	7	12	39	37	3	6	144	17	28	43	21	201
BAZ1B	2908	5338	3860	4162	2771	2001	500	498	298	344	821	756	253	227	2051	1531	2008	1425	1951	1821
RANBP9	456	1392	1147	846	977	727	339	167	137	128	185	189	165	180	986	938	957	780	895	789
ETV7	45	30	197	136	83	68	41	33	24	28	21	23	25	15	238	119	65	69	96	120
SPRTN	38	178	141	86	116	82	157	107	83	103	108	80	79	65	195	198	260	193	282	237
DYRK4	150	281	460	580	480	207	379	187	153	191	373	354	342	276	314	286	298	365	299	384
ZNF207	2084	4539	4270	6029	4905	3087	3060	2324	1792	2407	2613	2271	1886	1794	2559	2728	2776	3080	3260	3526
UQCRC1	3600	5136	7212	7970	6205	2782	1914	1754	1110	1543	2444	1938	1950	1819	3445	4690	4222	4324	4393	3279
STARD3NL	505	1188	1878	1711	1672	933	1771	1066	753	959	736	594	1479	1125	1064	1093	940	1173	1037	1120
CD9	345	2677	3108	9426	2550	1107	4854	2476	1256	1894	4880	4740	2155	1751	1785	1858	596	1070	930	2614
HHATL	0	10	0	0	0	0	13	4	3	2	0	3	5	0	3	4	1	0	3	0
NCAPD2	328	833	956	614	709	499	172	80	95	139	170	132	117	95	509	668	547	525	599	942
IFFO1	223	1040	880	677	466	414	38	32	30	29	80	50	15	17	765	706	553	653	375	2028
GIPR	0	0	0	2	3	3	16	8	5	8	2	2	8	2	121	65	64	135	65	116
PHF7	33	28	21	26	39	14	14	21	12	9	16	12	6	11	75	113	96	67	55	155
SEMA3G	0	5	0	0	0	0	21	6	8	2	0	3	2	2	1	1	3	2	6	3
NISCH	1843	3556	2736	2433	2214	1196	192	144	125	171	128	109	87	82	2571	3055	2408	2061	1860	3825
STAB1	23	53	149	164	1592	39	100	34	22	31	26	17	34	52	2966	5720	3800	2896	1155	16183
FUZ	580	519	639	534	377	283	77	53	67	81	132	129	45	61	193	321	275	254	264	224
SLC6A13	63	12	11	5	0	8	21	7	8	6	0	4	7	13	14	11	4	4	6	18
IDS	892	2048	2365	646	2127	867	1198	943	601	754	487	402	656	625	160	230	270	140	222	329
PRSS3	0	3	0	0	0	3	12	6	8	6	6	0	11	7	10	7	8	16	23	2
ZNF200	51	175	182	72	134	112	68	47	26	58	75	102	51	36	324	233	197	266	270	460
CD4	16	14	28	69	423	9	9	17	7	8	2	6	9	6	475	566	225	304	118	2941
LRRC23	430	283	452	383	268	164	167	93	69	84	195	187	84	108	197	184	147	150	129	119
BTK	0	3	0	14	73	0	14	13	12	5	5	2	6	5	255	299	104	137	70	927
HFE	82	709	577	665	421	85	125	87	78	99	341	288	61	58	399	615	565	250	325	335
SCMH1	489	1417	1438	4556	1074	1225	210	258	181	184	369	313	128	108	525	476	479	475	493	230
FYN	553	982	1107	717	1006	459	268	253	121	130	68	68	87	91	1983	1613	1764	2406	1754	2912
HIVEP2	443	1620	1039	818	930	907	184	191	137	258	103	77	117	142	1351	742	975	922	1158	1761
FMO1	0	0	0	3	0	0	8	0	12	15	6	21	6	2	2	4	0	4	0	3
ELOA	632	1611	939	1408	603	791	385	340	259	353	347	365	283	257	902	1158	1362	1133	1612	1010
LYPLA2	1234	2102	2377	1782	1799	947	167	132	132	154	155	138	113	101	1002	1220	1161	1688	1519	1686
CLCN6	483	4325	2280	1580	1424	1058	450	429	328	421	203	191	163	202	1348	849	1013	755	748	1464
AC080038.1	2811	5154	7414	1641	3244	3594	6	5	2	1	1	2	2	1	17	17	18	14	29	6
NME1-NME2	190	2055	4331	5044	357	1702	3879	2018	2015	2453	4678	4023	3522	3152	0	4	7	11	11	3
SLC6A7	0	12	0	0	0	0	10	3	3	5	1	0	2	0	0	2	0	0	0	1
TSPAN9	462	1048	1346	608	753	512	30	20	28	36	39	29	29	28	613	1253	948	583	1013	249
BTBD7	313	643	146	519	416	457	185	155	129	163	179	188	115	106	15	47	25	19	37	21
APBA3	508	873	1228	1033	997	599	60	59	54	59	55	57	37	57	553	535	405	768	518	1085
MKS1	101	283	323	464	291	186	52	62	50	79	185	143	51	55	169	245	235	147	217	170
ABHD5	297	703	894	796	787	442	797	718	348	365	672	617	249	251	895	921	784	977	917	853
ANOS1	54	729	189	306	174	120	57	43	24	50	58	48	46	54	183	278	233	66	420	64
AKAP8L	7353	3391	3413	2836	2294	1228	161	174	200	183	250	201	90	89	1258	1052	1007	1358	1000	1145
MBTD1	45	273	266	233	213	273	152	118	86	95	113	77	31	71	412	306	330	410	385	450
