	GSM4110156	GSM4110157	GSM4110158	GSM4110159	GSM4110160	GSM4110161
MASP2	0	48	11	43	27	13
IYD	0	50	16	8	10	14
FAM76A	83	128	156	200	148	79
TRAF3IP3	91	163	86	102	171	41
POMT2	917	1895	1236	1127	867	565
VTA1	236	831	708	884	929	589
MLXIPL	128	1640	312	259	44	8
BAZ1B	2908	5338	3860	4162	2771	2001
RANBP9	456	1392	1147	846	977	727
ETV7	45	30	197	136	83	68
SPRTN	38	178	141	86	116	82
EEF1AKNMT	1532	4674	2851	3640	2496	1318
DYRK4	150	281	460	580	480	207
ZNF207	2084	4539	4270	6029	4905	3087
UQCRC1	3600	5136	7212	7970	6205	2782
STARD3NL	505	1188	1878	1711	1672	933
CD9	345	2677	3108	9426	2550	1107
HHATL	0	10	0	0	0	0
NCAPD2	328	833	956	614	709	499
IFFO1	223	1040	880	677	466	414
GIPR	0	0	0	2	3	3
PHF7	33	28	21	26	39	14
SEMA3G	0	5	0	0	0	0
NISCH	1843	3556	2736	2433	2214	1196
STAB1	23	53	149	164	1592	39
FUZ	580	519	639	534	377	283
SLC6A13	63	12	11	5	0	8
IDS	892	2048	2365	646	2127	867
PRSS3	0	3	0	0	0	3
ZNF200	51	175	182	72	134	112
CD4	16	14	28	69	423	9
LRRC23	430	283	452	383	268	164
BTK	0	3	0	14	73	0
HFE	82	709	577	665	421	85
SCMH1	489	1417	1438	4556	1074	1225
FYN	553	982	1107	717	1006	459
HIVEP2	443	1620	1039	818	930	907
FMO1	0	0	0	3	0	0
ELOA	632	1611	939	1408	603	791
LYPLA2	1234	2102	2377	1782	1799	947
CLCN6	483	4325	2280	1580	1424	1058
AC080038.1	2811	5154	7414	1641	3244	3594
NME1-NME2	190	2055	4331	5044	357	1702
SLC6A7	0	12	0	0	0	0
TSPAN9	462	1048	1346	608	753	512
BTBD7	313	643	146	519	416	457
APBA3	508	873	1228	1033	997	599
MKS1	101	283	323	464	291	186
ABHD5	297	703	894	796	787	442
ANOS1	54	729	189	306	174	120
AKAP8L	7353	3391	3413	2836	2294	1228
MBTD1	45	273	266	233	213	273
UTP18	327	844	940	1001	1047	611
RNF216	716	1970	1983	2023	1509	938
TTC19	734	848	1019	1009	995	682
PTBP1	3153	8818	8544	8876	4906	3684
DPF1	90	77	93	62	68	34
SYT7	380	1529	668	461	378	293
LARS2	126	327	501	644	287	297
PIK3C2A	294	1123	507	909	712	670
PLAUR	562	749	714	1274	912	406
ANLN	11	27	23	52	110	166
WIZ	1436	4203	3982	3608	3021	2121
RABGAP1	320	1326	1181	1098	827	768
DCN	664	6017	4367	4936	2786	3053
QPCTL	484	1688	1137	725	612	282
PPP5C	561	1319	1119	1217	992	612
CEP68	129	336	231	332	472	342
MAP4K3	147	456	270	388	290	271
ZBTB32	0	0	2	0	0	4
TYROBP	43	18	67	98	508	68
TMEM159	40	97	125	133	53	93
BRCA1	65	55	73	26	70	64
ERCC1	2742	3825	4757	7141	4351	1939
CD22	128	474	230	275	127	40
SEMA3B	1866	6136	4171	2448	3559	1687
MBTPS2	98	589	443	467	438	437
PRICKLE3	182	576	495	344	326	235
LTF	3	0	0	5	45	0
EXTL3	360	901	1049	628	529	444
NR1H4	0	289	197	245	277	78
ELOVL5	1445	33039	9885	19417	11428	4617
ALOX5	4029	7224	6851	2335	6672	2661
CALCOCO1	887	1923	1416	1424	2118	1055
UBR7	244	564	563	518	598	325
MAP4K5	296	1067	1178	760	901	1090
EHD3	34	129	222	96	110	81
PSMC4	1581	3818	4202	6096	5078	1985
MAN2B2	1078	2328	1775	2412	2092	1250
SLC7A14	13	2	2	2	1	3
CLDN11	440	716	845	1276	606	675
SLC25A39	3085	2842	3848	4279	3373	1263
MVP	7906	13812	20474	21357	15778	7076
NUB1	488	1148	1223	1128	1314	875
PGM3	435	1753	1982	2252	1590	1208
RWDD2A	45	144	210	154	188	119
CLK1	332	1347	1359	1854	991	829
POLR3B	167	504	441	391	454	300
ANGEL1	77	628	496	616	415	397
RNF14	1025	2691	3147	2617	2226	1936
DNASE1L1	110	96	159	120	161	26
DDX11	24	138	113	416	336	86
HEBP1	512	1364	1910	2646	1438	561
GPRC5A	1267	7076	3891	3647	3305	884
MAMLD1	200	2345	363	682	472	132
CD6	0	2	0	13	42	0
TACC3	451	459	448	309	608	221
UFL1	181	666	449	578	530	436
POLA2	127	152	223	138	236	119
ZC3H3	1961	4261	6330	2427	1821	3943
CAPN1	3736	5932	8322	6212	5541	3006
ACPP	438	8014	2349	6140	1373	2319
MDH1	3536	12213	11669	16798	13608	6378
SLC30A9	572	1593	1468	1533	1419	942
MTMR11	182	350	411	538	283	276
COX15	353	761	848	1139	669	411
CCDC88C	11	63	52	93	85	47
YAF2	589	417	490	508	539	174
ZMYND11	778	2668	2296	1971	1559	1717
WAS	29	54	58	113	417	44
DPEP1	0	17	5	0	2	0
BID	295	274	446	286	574	299
MATR3	1400	3607	2909	3880	2710	1617
NPC1L1	0	20	2	2	6	0
XYLT2	1200	2296	2957	1545	1274	900
RGPD5	126	814	475	677	456	313
STMN4	24	5	26	20	0	5
NUDCD3	1051	1097	2448	2560	1663	1201
ISL1	2	0	0	0	0	0
CHDH	13	31	169	4	38	56
IL20RA	0	3	5	16	0	8
GLT8D1	263	745	1024	793	721	425
ATP2C1	871	4385	3463	2322	3114	1913
IGF1	4	0	0	2	4	2
SLC38A5	265	722	250	577	235	526
RALBP1	4293	2992	4333	3655	3294	1714
RUFY3	1180	1967	2461	2311	2433	1827
CNTN1	18	43	60	42	123	55
SLC11A1	45	45	62	323	673	69
WWTR1	1377	2971	1510	1618	1629	1376
AGPS	322	1126	1006	814	845	943
CXorf56	242	432	550	545	581	235
ATP1A2	0	0	2	2	2	0
TTC27	629	1548	3085	3148	3247	1750
ZNF582	18	48	70	60	61	57
PHLDB1	1818	3177	2258	2285	1181	987
MARCO	8	0	10	17	203	0
CYP24A1	0	2	0	0	2	0
PRDM11	35	227	346	464	267	192
SYT13	2	13	0	0	2	4
SNAI2	158	623	982	1805	483	665
CD74	2048	1750	4583	2590	4217	1501
HGF	24	325	363	644	265	202
ZRANB1	133	887	728	1061	511	378
NCDN	1007	2980	2537	2200	1491	1184
ADGRA2	90	25	101	62	41	35
CCT8L1P	0	0	2	2	5	0
ZFP64	238	625	253	380	356	262
MNAT1	86	175	234	312	422	180
SAMD4A	233	478	343	438	437	206
RUNX3	0	8	6	82	93	0
MRE11	54	165	370	329	235	331
PLEKHB1	88	160	209	156	220	96
SERPINB1	836	2482	2218	4402	2497	924
CYP3A43	79	61	60	65	61	60
SLC7A9	6	24	56	27	22	14
SPAST	76	317	336	296	185	280
NRXN3	14	23	85	0	63	98
OSBPL5	452	745	1327	820	832	532
AQR	329	922	665	1296	886	818
CPS1	2	7	21	29	5	4
FHL1	30	340	154	485	115	43
RTF2	678	2666	2215	2065	3017	1320
NLRP2	468	556	332	571	293	307
SLC45A4	94	311	235	238	304	146
RNF10	3244	6983	6635	5268	4762	2587
ZNF839	272	501	322	362	306	186
ZDHHC6	290	715	787	715	681	458
GRAMD1B	5371	32303	12699	33011	14302	10873
RNH1	2670	4825	5081	6255	4745	1869
NDUFS1	640	2205	1998	2906	2403	1493
RB1CC1	408	1411	1346	1321	1314	1523
ERP44	256	1802	1459	2232	1593	1075
ALAS1	713	2940	1846	3185	1785	902
BIRC3	168	367	354	154	273	247
AKAP11	319	1996	1116	942	821	1875
GLRX2	180	371	511	322	383	255
SNAPC1	124	301	211	355	281	249
DERA	389	366	638	972	867	439
STRAP	1472	4028	4994	5093	4012	2916
ABCC2	12	17	36	18	26	8
DEF6	218	260	268	128	332	37
PLEKHO1	2516	3704	4563	3287	2616	912
GCLM	386	1603	1064	933	811	677
UBR2	226	1092	670	1092	822	754
EHD2	4172	12017	10998	10049	8059	4457
DEPDC1	6	5	14	0	14	48
CCDC28A	233	539	505	492	400	218
RRAGD	125	385	273	62	187	108
HSF2	60	113	138	207	118	154
PHF20	2353	1431	1925	1142	1146	813
HSD17B6	12	106	33	24	23	14
NR1H3	469	382	617	604	460	175
TYMP	4160	4579	8558	5263	4296	1042
NCAPH2	1309	1991	2339	1735	1668	780
TOMM34	2767	4446	5957	10005	4671	1614
SEC63	916	2844	2804	2462	1575	957
KPNA6	1095	2539	3185	1669	1073	1301
VIM	27045	38075	47843	71365	56303	20629
RTEL1-TNFRSF6B	142	1437	1605	543	379	254
FAS	15	287	250	569	432	162
RNASET2	117	893	737	609	886	257
CD44	199	535	723	596	420	490
KCNG1	242	921	1113	692	434	274
AGPAT4	118	329	276	606	222	173
SLAMF7	0	5	0	5	42	0
BTN3A1	188	208	129	187	159	129
MIPEP	108	326	239	417	228	170
PRKCH	1428	1579	2071	3353	2534	1335
INSRR	6	13	0	6	4	0
IFNGR1	199	1115	891	1272	859	585
B4GALT7	366	897	658	991	977	469
SH2D2A	65	437	50	35	98	19
VRK2	138	262	300	582	425	280
TNFRSF1B	92	115	280	518	1166	160
VEZT	574	1174	1382	1136	1385	889
POU2F2	96	16	51	54	127	4
BRD9	4039	1685	2294	1952	1126	693
SNX1	1470	2450	3661	3902	3565	2404
TBPL1	268	514	1292	707	426	568
ARNTL2	44	60	134	89	133	113
BCLAF1	713	1743	1123	1975	1287	1265
SLC39A9	529	743	430	426	423	304
ANK1	182	201	93	117	151	47
TFB1M	103	196	158	212	149	141
RABEP1	915	2091	1914	1502	1680	1293
HMGB3	161	100	273	186	342	171
NUP160	58	561	430	754	526	536
BAK1	454	1147	1005	2018	982	665
IKZF2	8	31	19	38	30	44
GRN	1247	4594	5306	5514	3893	1723
FAM13B	156	1124	855	755	727	704
ARHGAP31	840	2693	2911	3362	1998	2028
CENPQ	0	59	34	32	23	25
SARS	3306	5679	7084	7928	7089	2693
RANBP3	1190	2185	2678	2459	2030	1132
ARID4A	1096	424	676	1271	619	313
EIPR1	383	840	781	1375	806	392
PNPLA6	1796	4783	4160	2793	2639	1681
IFT88	70	143	199	217	222	97
ALG1	155	517	739	1103	712	297
ZCCHC8	200	714	743	479	609	277
ABCF2	1137	2301	3057	3028	2060	1442
CHPF2	1535	3295	2786	4648	2891	1833
LRRC7	1	10	4	8	5	2
FUT8	55	212	191	218	187	112
UBA6	119	878	603	934	608	779
GAB2	1736	2739	2064	1272	1720	1086
ATP6V0A1	517	2693	562	798	801	854
PIAS1	223	522	653	506	446	408
SLC4A7	380	236	158	223	279	286
APBA2	62	680	397	245	151	119
MAP2K3	327	1232	986	3974	945	411
EFCAB1	0	4	11	3	0	0
TMSB10	384003	253097	480459	273968	360509	117276
ASTE1	57	199	268	210	214	162
RNF19A	212	1244	904	1106	848	870
PEX3	10	238	180	214	241	153
GABARAPL2	774	1867	1856	1716	1764	1030
MYOC	0	0	0	6	0	0
SH3YL1	63	314	238	186	247	164
FAM136A	703	940	1393	908	965	744
VCL	2443	5633	4418	14544	15687	7948
DEPDC1B	0	35	16	0	8	30
DAPK2	12	0	4	14	41	7
NSMAF	321	742	882	831	647	548
ADSS	148	798	607	634	638	488
STAP1	0	0	0	2	0	4
TIMP2	1394	3049	3154	1121	1633	2999
RFC1	522	1443	1423	1377	1315	951
TBC1D23	211	798	626	1104	1043	787
CUL3	558	1811	1604	1428	1552	1123
MYOM2	17	11	5	21	33	27
OTC	0	6	2	0	0	0
CYP46A1	0	8	0	12	12	3
AC118549.1	340	429	435	377	318	465
SLC18A1	0	3	0	0	2	0
USP2	31	46	31	33	44	10
CASR	7	16	34	4	74	8
TUBG2	510	942	1014	1056	612	364
RPL26L1	660	1005	1277	1818	1309	489
FLT4	0	5	63	14	15	20
NSUN2	241	1364	1575	1469	1014	610
FBXO42	856	1995	2384	1535	1402	1064
MFAP3	8	331	129	182	35	39
MRI1	67	831	418	500	478	236
METTL1	423	313	713	794	436	233
HOXC8	118	39	146	67	70	67
AGA	66	254	284	532	399	229
PI4K2B	117	308	462	321	438	408
BOD1L1	2894	2946	2869	2063	2212	1503
MAT2B	201	647	665	743	560	566
TLL1	0	0	4	17	0	7
EDC4	779	2371	1628	2052	1648	1017
TRIO	1702	10285	4749	4921	3057	3555
VCAN	1559	18610	11551	4586	8044	16090
CLEC16A	375	4564	5489	3130	1971	1938
MSR1	0	65	37	143	288	9
CDH1	2	0	0	0	24	4
MTREX	369	995	1048	1126	1064	977
ZFYVE16	321	741	585	718	515	583
RIPOR1	595	854	1406	1452	848	691
C6	6	8	21	32	134	19
RAI14	586	972	1049	776	705	653
SOX30	0	8	5	12	0	0
PNKP	1206	1952	1829	2546	1572	772
BEST2	0	8	3	0	0	0
PHLPP2	87	666	452	716	506	292
SPDL1	55	173	137	83	182	90
STAU2	223	370	507	400	580	397
PQLC2	188	631	450	384	307	173
CTNS	256	892	874	665	543	368
RTN4R	12	35	12	0	0	0
PHF23	781	1264	2110	1887	1209	911
CDH10	0	6	0	2	2	0
INPP4A	243	642	515	606	433	494
RAB27B	6	10	8	4	16	2
PSMA4	857	1160	1986	2389	1781	889
MYO16	102	309	253	311	140	76
LSG1	573	1531	1442	1290	1052	587
PARP3	107	517	319	541	310	135
TNC	3573	67302	28689	10528	14560	16559
THAP3	1410	522	546	367	369	173
RIPOR3	81	162	18	475	82	8
TDP1	76	173	235	216	250	161
AIFM2	277	1070	961	877	892	356
SPATA7	129	228	446	248	252	166
MED17	197	674	786	751	406	647
RETSAT	258	1345	1242	1458	1096	629
CAPG	350	172	410	399	459	157
AP2S1	2448	2397	3571	3941	3037	1324
USH2A	0	0	0	4	3	2
ZPBP	0	0	2	0	0	0
TG	118	146	161	48	51	26
ADAM28	2	0	5	5	16	0
DCUN1D1	85	256	323	285	273	279
JADE2	235	1176	969	786	1038	339
ZIC2	0	15	3	0	0	0
LCP2	0	2	23	92	397	32
TRIT1	125	273	288	335	255	145
ADRB1	13	89	104	34	61	116
CUL7	1054	4077	2607	3611	1924	1529
CTNNA1	4485	10316	8389	10068	9819	4420
PHKA2	1582	5091	3143	1765	2448	1027
CNTLN	203	234	145	307	179	183
EPHA3	0	0	19	13	24	12
HSPA5	4665	36484	27361	21253	18790	9050
DSG2	544	1689	1029	1360	647	914
GEMIN8	269	584	631	714	514	228
OFD1	802	855	777	654	541	310
GPM6B	207	363	352	282	263	336
WDR37	262	2302	433	607	355	647
YTHDC2	210	893	850	758	898	668
CTPS2	201	324	673	416	468	352
ATP6V1H	211	816	722	934	681	419
POLR2B	660	3310	2741	3826	2800	1842
FAM214A	74	240	171	280	205	177
ARAP2	22	332	195	145	123	155
TPR	1633	4468	4156	4582	3590	2716
CP	0	6	0	2	0	4
KIAA0556	301	1389	813	964	819	420
DTNBP1	226	219	582	354	445	131
XK	0	6	28	37	37	20
ANO2	0	17	2	0	4	0
C12orf4	76	337	395	419	313	217
SCML1	104	891	594	733	532	476
WWC3	730	2255	1225	1331	968	549
ARHGAP6	1544	8147	8124	3992	4258	3405
FAM184B	0	7	4	4	8	4
MAP4	6709	9548	12457	10945	9126	4922
GOPC	171	427	598	293	371	381
USP28	143	469	386	261	266	244
HDAC9	0	0	12	0	16	0
TSPAN17	1406	1790	886	946	1836	945
NOP16	622	1205	1588	1754	1476	804
CC2D2A	110	307	262	386	299	184
RRM2B	143	429	561	430	434	529
ZNF800	130	843	463	520	351	312
SNX29	259	1397	1175	1013	687	601
LMO3	7	6	40	16	26	6
MRPS10	383	508	691	523	672	453
GUCA1A	5	44	41	12	27	12
RSF1	1519	1403	1299	1085	1278	1166
VPS13D	589	1945	1738	1555	1352	1134
CELF2	61	520	38	568	138	137
FAM120A	3002	9370	6456	7030	4624	4111
R3HDM1	393	970	973	1107	808	642
COL9A2	678	1274	1591	566	882	394
KITLG	0	25	23	28	26	56
ERCC8	150	114	98	111	94	94
ADAMTS6	10	16	21	27	30	12
H6PD	1109	3409	2562	2358	1638	1261
VAMP3	1334	2838	3272	3653	2599	1546
PER3	72	411	186	640	154	77
UTS2	0	0	0	0	0	7
TNFRSF9	0	6	16	10	6	16
EPN3	157	441	446	670	737	333
LTBP1	723	2625	4924	1344	4685	4346
RCN1	1367	9369	7457	13865	7664	3632
ELN	66	303	232	87	222	99
RFC2	531	334	804	346	706	406
ARID1B	821	4137	2053	3094	2034	2027
CLPTM1L	1029	2601	3289	3328	2118	1233
NEDD4L	232	791	327	781	183	124
FOXP3	18	31	36	27	14	10
PPP1R3F	378	499	1104	395	445	335
HEXB	665	2007	1937	2601	1744	991
PTCD2	41	86	94	117	174	89
NEXMIF	0	3	2	0	0	0
JKAMP	73	314	313	385	297	375
DKK3	987	4754	5165	8073	3596	1258
ARHGEF5	1143	3314	916	2176	1461	397
NFE2L3	85	669	702	364	345	186
MCUR1	251	351	409	474	465	195
LIMA1	277	790	548	1784	1723	405
LETMD1	182	355	483	521	345	162
SLC4A8	37	363	168	113	145	175
LAMC3	378	954	839	318	517	526
PTGER3	0	30	8	51	20	0
TNIP3	0	0	2	0	0	0
MAPK9	401	1060	697	451	539	425
COL23A1	242	875	531	246	80	280
BCAR1	4365	6958	7276	6493	5636	3056
FAM160A2	1554	3980	4215	3437	1960	1474
HERPUD1	597	2361	1949	1854	1002	601
HOMER3	1774	1321	1790	1374	1421	808
RAD51	22	23	32	7	57	40
POLQ	8	12	7	6	35	18
PIK3CB	46	154	229	219	155	157
CYBA	3490	1889	4196	1726	2805	1077
THOC3	213	950	822	638	850	512
HEBP2	395	604	578	921	932	236
MPHOSPH9	123	208	218	168	250	256
PLEKHA5	271	1428	860	1542	1275	664
PRSS8	0	0	6	6	15	0
SIKE1	155	545	484	399	481	335
RRP12	1794	2548	2448	13016	1883	906
FNIP2	330	1734	1811	1575	701	1994
MSMO1	2597	22722	11171	7383	7848	4596
TTC17	242	1980	1746	2295	1518	1170
ALX4	30	12	4	4	4	34
FSTL4	51	2680	1566	529	799	1006
FOXN3	1363	2124	3635	2061	1327	1675
METTL24	0	10	2	6	4	2
AKR7A2	472	877	722	961	1172	566
MRTO4	1373	1585	2113	2988	1929	1023
NNAT	51	29	52	27	96	59
USE1	698	951	972	1296	1176	394
MCF2L2	71	277	168	108	126	108
NRIP2	6	24	11	27	35	12
LAMA3	575	1973	2257	4055	1497	960
AP5M1	174	390	433	476	471	440
ANAPC4	341	352	448	352	212	225
KCNQ1	436	1371	1241	1446	981	398
TRAPPC3	567	811	1315	1738	1332	970
THRAP3	1503	5926	5355	5811	4850	2732
PHPT1	2810	5198	5701	5464	4051	1704
ENTPD2	2	0	0	0	4	0
LY75	0	210	317	240	94	24
ARID4B	891	872	687	716	728	600
OPN3	100	329	329	197	363	303
SDCCAG8	384	410	488	581	649	259
PTPRN	2363	15110	4000	1981	3744	1736
HHAT	64	490	449	258	265	187
KIF1B	672	3155	2478	2756	1758	1914
FOXC1	76	86	170	67	162	116
TBC1D22A	1161	4010	2647	1454	1895	738
SYNE2	380	1081	853	815	1747	1284
PLEKHH1	1708	4389	1999	2425	3143	1964
ATP9A	131	218	420	215	287	367
CHRDL2	54	173	514	307	111	112
FAM168A	1839	9248	7811	4478	3062	3592
RELT	228	2079	1401	1112	527	381
GALC	249	2254	1625	1192	1634	1956
NOP58	5515	2307	3736	4034	2505	1263
